year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,10,11,0,10,0,q1,0,sub,0,4,12,22,11,15,Laurier
2024,10,11,0,9,45,q1,11,t,10,4,12,22,11,15,Laurier
2024,10,11,0,9,25,q1,-1,ct,10,4,12,22,11,15,Laurier
2024,10,11,0,9,0,q1,15,pcl,8,4,12,22,11,15,Laurier
2024,10,11,0,8,40,q1,-1,mct,9,4,12,22,11,15,Laurier
2024,10,11,0,8,17,q1,15,TO,6,4,12,22,11,15,Laurier
2024,10,11,0,8,8,q1,-1,mcr,15,4,12,22,11,15,Laurier
2024,10,11,0,8,2,q1,12,mct,21,4,12,22,11,15,Laurier
2024,10,11,0,7,50,q1,-1,mcr,17,4,12,22,11,15,Laurier
2024,10,11,0,7,32,q1,11,mcr,9,4,12,22,11,15,Laurier
2024,10,11,0,7,27,q1,11,mcl,11,4,12,22,11,15,Laurier
2024,10,11,0,7,21,q1,15,t,6,4,12,22,11,15,Laurier
2024,10,11,0,7,5,q1,-1,r,13,4,12,22,11,15,Laurier
2024,10,11,0,6,41,q1,15,pcl,5,4,12,22,11,15,Laurier
2024,10,11,0,6,25,q1,-1,cr,12,4,12,22,11,15,Laurier
2024,10,11,0,6,8,q1,4,mcr,13,4,12,22,11,15,Laurier
2024,10,11,0,5,58,q1,-1,TO,19,4,12,22,11,15,Laurier
2024,10,11,0,5,43,q1,15,mpcl,10,4,12,22,11,15,Laurier
2024,10,11,0,5,36,q1,22,mr,3,4,12,22,11,15,Laurier
2024,10,11,0,5,22,q1,-1,mpcr,13,4,12,22,11,15,Laurier
2024,10,11,0,5,15,q1,4,r,20,4,12,22,11,15,Laurier
2024,10,11,0,4,47,q1,-1,cr,1,4,12,22,11,15,Laurier
2024,10,11,0,4,33,q1,11,mct,14,4,12,22,11,15,Laurier
2024,10,11,0,4,23,q1,-1,mr,19,4,12,22,11,15,Laurier
2024,10,11,0,4,7,q1,0,sub,0,4,13,22,11,14,Laurier
2024,10,11,0,3,54,q1,-1,mcl,11,4,13,22,11,14,Laurier
2024,10,11,0,3,37,q1,22,ct,12,4,13,22,11,14,Laurier
2024,10,11,0,3,21,q1,-1,TO,13,4,13,22,11,14,Laurier
2024,10,11,0,3,20,q1,0,sub,0,4,13,22,21,14,Laurier
2024,10,11,0,3,11,q1,4,ct,15,4,13,22,21,14,Laurier
2024,10,11,0,2,45,q1,-1,pcl,5,4,13,22,21,14,Laurier
2024,10,11,0,2,36,q1,4,t,19,4,13,22,21,14,Laurier
2024,10,11,0,2,20,q1,-1,TO,13,4,13,22,21,14,Laurier
2024,10,11,0,1,58,q1,4,mcr,11,4,13,22,21,14,Laurier
2024,10,11,0,1,48,q1,-1,mct,18,4,13,22,21,14,Laurier
2024,10,11,0,1,38,q1,22,cr,18,4,13,22,21,14,Laurier
2024,10,11,0,1,37,q1,0,sub,0,7,13,22,21,14,Laurier
2024,10,11,0,1,20,q1,-1,t,8,7,13,22,21,14,Laurier
2024,10,11,0,0,55,q1,21,TO,7,7,13,22,21,14,Laurier
2024,10,11,0,0,55,q1,-1,f,0,7,13,22,21,14,Laurier
2024,10,11,0,0,55,q1,-1,f,0,7,13,22,21,14,Laurier
2024,10,11,0,0,24,q1,21,mcr,10,7,13,22,21,14,Laurier
2024,10,11,0,0,17,q1,-1,mcl,17,7,13,22,21,14,Laurier
2024,10,11,0,0,4,q1,7,ct,4,7,13,22,21,14,Laurier
2024,10,11,0,10,0,q2,0,sub,0,7,13,8,21,14,Laurier
2024,10,11,0,9,53,q2,-1,mcr,17,7,13,8,21,14,Laurier
