year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,10,12,0,10,0,q1,0,sub,0,4,12,22,11,15,McMaster
2024,10,12,0,9,51,q1,4,r,15,4,12,22,11,15,McMaster
2024,10,12,0,9,31,q1,-1,mr,8,4,12,22,11,15,McMaster
2024,10,12,0,9,18,q1,4,cr,16,4,12,22,11,15,McMaster
2024,10,12,0,8,58,q1,-1,mcr,9,4,12,22,11,15,McMaster
2024,10,12,0,8,44,q1,15,pcr,13,4,12,22,11,15,McMaster
2024,10,12,0,8,21,q1,-1,mcl,7,4,12,22,11,15,McMaster
2024,10,12,0,7,54,q1,12,TO,1,4,12,22,11,15,McMaster
2024,10,12,0,7,44,q1,-1,mct,14,4,12,22,11,15,McMaster
2024,10,12,0,7,35,q1,22,TO,18,4,12,22,11,15,McMaster
2024,10,12,0,7,31,q1,-1,mcl,21,4,12,22,11,15,McMaster
2024,10,12,0,7,18,q1,22,mcl,13,4,12,22,11,15,McMaster
2024,10,12,0,7,5,q1,-1,TO,12,4,12,22,11,15,McMaster
2024,10,12,0,6,47,q1,15,cl,7,4,12,22,11,15,McMaster
2024,10,12,0,6,33,q1,-1,cl,13,4,12,22,11,15,McMaster
2024,10,12,0,6,10,q1,22,mct,5,4,12,22,11,15,McMaster
2024,10,12,0,6,4,q1,15,cl,12,4,12,22,11,15,McMaster
2024,10,12,0,5,54,q1,-1,mcl,16,4,12,22,11,15,McMaster
2024,10,12,0,5,47,q1,11,TO,19,4,12,22,11,15,McMaster
2024,10,12,0,5,38,q1,0,sub,0,4,12,22,21,14,McMaster
2024,10,12,0,5,37,q1,-1,cr,15,4,12,22,21,14,McMaster
2024,10,12,0,5,16,q1,12,mt,9,4,12,22,21,14,McMaster
2024,10,12,0,4,56,q1,-1,TO,7,4,12,22,21,14,McMaster
2024,10,12,0,4,52,q1,14,l,21,4,12,22,21,14,McMaster
2024,10,12,0,4,36,q1,-1,mct,14,4,12,22,21,14,McMaster
2024,10,12,0,4,22,q1,-1,mct,7,4,12,22,21,14,McMaster
2024,10,12,0,4,6,q1,14,l,12,4,12,22,21,14,McMaster
2024,10,12,0,3,51,q1,-1,cl,12,4,12,22,21,14,McMaster
2024,10,12,0,3,51,q1,-1,f,0,4,12,22,21,14,McMaster
2024,10,12,0,3,51,q1,0,sub,0,4,10,22,21,14,McMaster
2024,10,12,0,3,27,q1,4,cr,1,4,10,22,21,14,McMaster
2024,10,12,0,3,10,q1,-1,pcl,11,4,10,22,21,14,McMaster
2024,10,12,0,2,53,q1,22,mcr,13,4,10,22,21,14,McMaster
2024,10,12,0,2,41,q1,22,f,0,4,10,22,21,14,McMaster
2024,10,12,0,2,41,q1,22,f,0,4,10,22,21,14,McMaster
2024,10,12,0,2,41,q1,0,sub,0,4,10,13,21,14,McMaster
2024,10,12,0,2,31,q1,-1,t,14,4,10,13,21,14,McMaster
2024,10,12,0,2,14,q1,14,TO,14,4,10,13,21,14,McMaster
2024,10,12,0,2,12,q1,-1,cl,21,4,10,13,21,14,McMaster
2024,10,12,0,1,55,q1,13,TO,14,4,10,13,21,14,McMaster
2024,10,12,0,1,51,q1,-1,f,0,4,10,13,21,14,McMaster
2024,10,12,0,1,51,q1,-1,f,0,4,10,13,21,14,McMaster
2024,10,12,0,1,51,q1,0,sub,0,7,10,5,21,14,McMaster
2024,10,12,0,1,42,q1,7,TO,15,7,10,5,21,14,McMaster
2024,10,12,0,1,32,q1,-1,t,14,7,10,5,21,14,McMaster
2024,10,12,0,1,9,q1,7,mf,0,7,10,5,21,14,McMaster
2024,10,12,0,1,9,q1,7,f,0,7,10,5,21,14,McMaster
2024,10,12,0,1,2,q1,-1,ct,17,7,10,5,21,14,McMaster
2024,10,12,0,1,1,q1,0,sub,0,7,4,5,21,14,McMaster
2024,10,12,0,0,55,q1,21,mf,0,7,4,5,21,14,McMaster
2024,10,12,0,0,55,q1,21,f,0,7,4,5,21,14,McMaster
2024,10,12,0,0,40,q1,-1,mcr,10,7,4,5,21,14,McMaster
2024,10,12,0,0,34,q1,-1,TO,12,7,4,5,21,14,McMaster
2024,10,12,0,0,12,q1,4,mcl,2,7,4,5,21,14,McMaster
2024,10,12,0,0,6,q1,-1,mcr,6,7,4,5,21,14,McMaster
2024,10,12,0,0,2,q1,-1,cl,2,7,4,5,21,14,McMaster
2024,10,12,0,10,0,q2,0,sub,0,7,4,11,22,15,McMaster
2024,10,12,0,9,43,q2,-1,pcl,8,7,4,11,22,15,McMaster
2024,10,12,0,9,25,q2,15,cl,11,7,4,11,22,15,McMaster
2024,10,12,0,9,13,q2,-1,mcl,14,7,4,11,22,15,McMaster
2024,10,12,0,9,12,q2,-1,cl,14,7,4,11,22,15,McMaster
2024,10,12,0,9,1,q2,22,TO,18,7,4,11,22,15,McMaster
2024,10,12,0,8,53,q2,-1,mcr,18,7,4,11,22,15,McMaster
2024,10,12,0,8,37,q2,4,mr,12,7,4,11,22,15,McMaster
2024,10,12,0,8,24,q2,-1,pcl,14,7,4,11,22,15,McMaster
2024,10,12,0,8,10,q2,22,cl,16,7,4,11,22,15,McMaster
2024,10,12,0,8,10,q2,22,mf,0,7,4,11,22,15,McMaster
2024,10,12,0,7,56,q2,-1,f,0,7,4,11,22,15,McMaster
2024,10,12,0,7,56,q2,-1,f,0,7,4,11,22,15,McMaster
2024,10,12,0,7,42,q2,4,mr,14,7,4,11,22,15,McMaster
2024,10,12,0,7,19,q2,-1,mct,4,7,4,11,22,15,McMaster
2024,10,12,0,7,10,q2,-1,mct,14,7,4,11,22,15,McMaster
2024,10,12,0,6,58,q2,22,ct,14,7,4,11,22,15,McMaster
2024,10,12,0,6,38,q2,-1,mcr,10,7,4,11,22,15,McMaster
2024,10,12,0,6,30,q2,4,cr,18,7,4,11,22,15,McMaster
2024,10,12,0,6,26,q2,0,sub,0,4,12,11,22,15,McMaster
2024,10,12,0,6,15,q2,-1,mct,13,4,12,11,22,15,McMaster
2024,10,12,0,6,5,q2,4,mt,18,4,12,11,22,15,McMaster
2024,10,12,0,5,43,q2,-1,mpcr,5,4,12,11,22,15,McMaster
2024,10,12,0,5,38,q2,-1,cr,12,4,12,11,22,15,McMaster
2024,10,12,0,5,21,q2,15,mf,0,4,12,11,22,15,McMaster
2024,10,12,0,5,21,q2,15,mf,0,4,12,11,22,15,McMaster
2024,10,12,0,5,8,q2,-1,cl,12,4,12,11,22,15,McMaster
2024,10,12,0,4,47,q2,11,ct,7,4,12,11,22,15,McMaster
2024,10,12,0,4,32,q2,-1,t,15,4,12,11,22,15,McMaster
2024,10,12,0,4,15,q2,22,cr,12,4,12,11,22,15,McMaster
2024,10,12,0,3,58,q2,-1,cl,13,4,12,11,22,15,McMaster
2024,10,12,0,3,46,q2,4,r,16,4,12,11,22,15,McMaster
2024,10,12,0,3,34,q2,-1,cl,16,4,12,11,22,15,McMaster
2024,10,12,0,3,18,q2,22,TO,12,4,12,11,22,15,McMaster
2024,10,12,0,3,18,q2,0,sub,0,4,12,11,22,14,McMaster
2024,10,12,0,3,17,q2,11,cl,13,4,12,11,22,14,McMaster
2024,10,12,0,3,17,q2,11,f,0,4,12,11,22,14,McMaster
2024,10,12,0,3,2,q2,-1,mcpr,10,4,12,11,22,14,McMaster
2024,10,12,0,3,0,q2,0,sub,0,4,12,21,22,14,McMaster
2024,10,12,0,2,57,q2,-1,mt,11,4,12,21,22,14,McMaster
2024,10,12,0,2,45,q2,14,cl,16,4,12,21,22,14,McMaster
2024,10,12,0,2,28,q2,-1,mpcr,11,4,12,21,22,14,McMaster
2024,10,12,0,2,27,q2,-1,mcl,13,4,12,21,22,14,McMaster
2024,10,12,0,2,11,q2,4,mcr,12,4,12,21,22,14,McMaster
2024,10,12,0,2,5,q2,-1,l,22,4,12,21,22,14,McMaster
2024,10,12,0,1,49,q2,4,mt,10,4,12,21,22,14,McMaster
2024,10,12,0,1,39,q2,-1,TO,18,4,12,21,22,14,McMaster
2024,10,12,0,1,34,q2,22,ct,20,4,12,21,22,14,McMaster
2024,10,12,0,1,11,q2,-1,cl,5,4,12,21,22,14,McMaster
2024,10,12,0,0,47,q2,21,mf,0,4,12,21,22,14,McMaster
2024,10,12,0,0,47,q2,21,mf,0,4,12,21,22,14,McMaster
2024,10,12,0,0,37,q2,-1,mcl,15,4,12,21,22,14,McMaster
2024,10,12,0,0,35,q2,4,TO,22,4,12,21,22,14,McMaster
2024,10,12,0,0,30,q2,-1,cl,10,4,12,21,22,14,McMaster
2024,10,12,0,0,6,q2,22,f,0,4,12,21,22,14,McMaster
2024,10,12,0,0,6,q2,22,f,0,4,12,21,22,14,McMaster
2024,10,12,0,10,0,q3,0,sub,0,4,12,11,22,15,McMaster
2024,10,12,0,9,46,q3,15,mcl,10,4,12,11,22,15,McMaster
2024,10,12,0,9,22,q3,-1,mcr,2,4,12,11,22,15,McMaster
2024,10,12,0,9,2,q3,15,mcl,7,4,12,11,22,15,McMaster
2024,10,12,0,8,58,q3,15,mcl,10,4,12,11,22,15,McMaster
2024,10,12,0,8,41,q3,-1,mcr,8,4,12,11,22,15,McMaster
2024,10,12,0,8,23,q3,22,ct,9,4,12,11,22,15,McMaster
2024,10,12,0,8,5,q3,-1,mcr,11,4,12,11,22,15,McMaster
2024,10,12,0,7,45,q3,4,mcr,8,4,12,11,22,15,McMaster
2024,10,12,0,7,29,q3,-1,TO,9,4,12,11,22,15,McMaster
2024,10,12,0,7,21,q3,4,mr,17,4,12,11,22,15,McMaster
2024,10,12,0,7,10,q3,4,cl,7,4,12,11,22,15,McMaster
2024,10,12,0,6,52,q3,-1,mpcl,8,4,12,11,22,15,McMaster
2024,10,12,0,6,40,q3,4,mct,14,4,12,11,22,15,McMaster
2024,10,12,0,6,31,q3,-1,mct,19,4,12,11,22,15,McMaster
2024,10,12,0,6,11,q3,15,mcpl,9,4,12,11,22,15,McMaster
2024,10,12,0,5,53,q3,0,sub,0,4,12,11,22,14,McMaster
2024,10,12,0,5,46,q3,-1,TO,8,4,12,11,22,14,McMaster
2024,10,12,0,5,35,q3,11,cl,13,4,12,11,22,14,McMaster
2024,10,12,0,5,35,q3,11,f,0,4,12,11,22,14,McMaster
2024,10,12,0,5,13,q3,-1,f,0,4,12,11,22,14,McMaster
2024,10,12,0,5,13,q3,-1,mf,0,4,12,11,22,14,McMaster
2024,10,12,0,4,57,q3,4,mt,12,4,12,11,22,14,McMaster
2024,10,12,0,4,48,q3,-1,mcl,21,4,12,11,22,14,McMaster
2024,10,12,0,4,48,q3,0,sub,0,4,12,21,22,14,McMaster
2024,10,12,0,4,44,q3,-1,mcr,18,4,12,21,22,14,McMaster
2024,10,12,0,4,37,q3,22,mt,17,4,12,21,22,14,McMaster
2024,10,12,0,4,20,q3,-1,mcr,10,4,12,21,22,14,McMaster
2024,10,12,0,4,7,q3,21,cpl,14,4,12,21,22,14,McMaster
2024,10,12,0,3,56,q3,-1,ct,17,4,12,21,22,14,McMaster
2024,10,12,0,3,38,q3,12,ct,13,4,12,21,22,14,McMaster
2024,10,12,0,3,14,q3,-1,mt,6,4,12,21,22,14,McMaster
2024,10,12,0,3,0,q3,22,ct,12,4,12,21,22,14,McMaster
2024,10,12,0,2,35,q3,-1,ct,5,4,12,21,22,14,McMaster
2024,10,12,0,2,14,q3,21,TO,9,4,12,21,22,14,McMaster
2024,10,12,0,2,3,q3,-1,mct,14,4,12,21,22,14,McMaster
2024,10,12,0,1,56,q3,4,TO,21,4,12,21,22,14,McMaster
2024,10,12,0,1,56,q3,0,sub,0,7,12,21,8,14,McMaster
2024,10,12,0,1,40,q3,-1,l,8,7,12,21,8,14,McMaster
2024,10,12,0,1,24,q3,21,pcl,12,7,12,21,8,14,McMaster
2024,10,12,0,1,7,q3,-1,t,10,7,12,21,8,14,McMaster
2024,10,12,0,0,45,q3,14,l,14,7,12,21,8,14,McMaster
2024,10,12,0,0,25,q3,-1,mct,12,7,12,21,8,14,McMaster
2024,10,12,0,0,20,q3,0,sub,0,7,12,21,4,14,McMaster
2024,10,12,0,0,1,q3,7,mcr,1,7,12,21,4,14,McMaster
2024,10,12,0,10,0,q4,0,sub,0,4,7,12,21,14,McMaster
2024,10,12,0,9,51,q4,-1,mcl,16,4,7,12,21,14,McMaster
2024,10,12,0,9,45,q4,12,mcl,20,4,7,12,21,14,McMaster
2024,10,12,0,9,30,q4,-1,f,0,4,7,12,21,14,McMaster
2024,10,12,0,9,30,q4,-1,mf,0,4,7,12,21,14,McMaster
2024,10,12,0,9,11,q4,21,mpcl,7,4,7,12,21,14,McMaster
2024,10,12,0,9,1,q4,-1,cr,15,4,7,12,21,14,McMaster
2024,10,12,0,8,45,q4,14,mt,11,4,7,12,21,14,McMaster
2024,10,12,0,8,42,q4,0,sub,0,4,7,12,11,15,McMaster
2024,10,12,0,8,41,q4,4,TO,13,4,7,12,11,15,McMaster
2024,10,12,0,8,26,q4,-1,mcl,10,4,7,12,11,15,McMaster
2024,10,12,0,8,9,q4,11,t,10,4,7,12,11,15,McMaster
2024,10,12,0,7,49,q4,-1,mcr,8,4,7,12,11,15,McMaster
2024,10,12,0,7,37,q4,15,cr,16,4,7,12,11,15,McMaster
2024,10,12,0,7,34,q4,0,sub,0,4,7,22,11,15,McMaster
2024,10,12,0,7,20,q4,-1,cl,10,4,7,22,11,15,McMaster
2024,10,12,0,7,20,q4,-1,mf,0,4,7,22,11,15,McMaster
2024,10,12,0,7,19,q4,11,TO,23,4,7,22,11,15,McMaster
2024,10,12,0,7,6,q4,-1,mcl,3,4,7,22,11,15,McMaster
2024,10,12,0,6,59,q4,-1,mcl,3,4,7,22,11,15,McMaster
2024,10,12,0,6,49,q4,-1,TO,7,4,7,22,11,15,McMaster
2024,10,12,0,6,35,q4,7,mcr,4,4,7,22,11,15,McMaster
2024,10,12,0,6,30,q4,15,mpcr,12,4,7,22,11,15,McMaster
2024,10,12,0,6,20,q4,-1,mf,0,4,7,22,11,15,McMaster
2024,10,12,0,6,20,q4,-1,mf,0,4,7,22,11,15,McMaster
2024,10,12,0,6,0,q4,4,TO,15,4,7,22,11,15,McMaster
2024,10,12,0,5,54,q4,-1,cl,18,4,7,22,11,15,McMaster
2024,10,12,0,5,43,q4,11,TO,21,4,7,22,11,15,McMaster
2024,10,12,0,5,42,q4,-1,t,18,4,7,22,11,15,McMaster
2024,10,12,0,5,24,q4,11,TO,10,4,7,22,11,15,McMaster
2024,10,12,0,5,15,q4,-1,mt,16,4,7,22,11,15,McMaster
2024,10,12,0,5,0,q4,22,mf,0,4,7,22,11,15,McMaster
2024,10,12,0,5,0,q4,22,f,0,4,7,22,11,15,McMaster
2024,10,12,0,5,0,q4,0,sub,0,4,12,22,11,15,McMaster
2024,10,12,0,4,48,q4,-1,cr,12,4,12,22,11,15,McMaster
2024,10,12,0,4,38,q4,11,f,0,4,12,22,11,15,McMaster
2024,10,12,0,4,38,q4,11,f,0,4,12,22,11,15,McMaster
2024,10,12,0,4,38,q4,0,sub,0,4,12,22,11,14,McMaster
2024,10,12,0,4,26,q4,-1,TO,13,4,12,22,11,14,McMaster
2024,10,12,0,4,23,q4,12,TO,21,4,12,22,11,14,McMaster
2024,10,12,0,4,16,q4,-1,TO,7,4,12,22,11,14,McMaster
2024,10,12,0,4,6,q4,4,mt,16,4,12,22,11,14,McMaster
2024,10,12,0,3,51,q4,-1,mcl,15,4,12,22,11,14,McMaster
2024,10,12,0,3,28,q4,11,TO,4,4,12,22,11,14,McMaster
2024,10,12,0,3,19,q4,-1,f,0,4,12,22,11,14,McMaster
2024,10,12,0,3,19,q4,-1,f,0,4,12,22,11,14,McMaster
