year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,10,13,0,10,0,q1,0,sub,0,4,12,22,11,15,CBU
2024,10,13,0,9,52,q1,-1,TO,9,4,12,22,11,15,CBU
2024,10,13,0,9,33,q1,22,mct,5,4,12,22,11,15,CBU
2024,10,13,0,9,16,q1,-1,mcl,12,4,12,22,11,15,CBU
2024,10,13,0,8,58,q1,11,cl,9,4,12,22,11,15,CBU
2024,10,13,0,8,36,q1,-1,mcr,7,4,12,22,11,15,CBU
2024,10,13,0,8,18,q1,11,cl,10,4,12,22,11,15,CBU
2024,10,13,0,8,3,q1,-1,mcpr,12,4,12,22,11,15,CBU
2024,10,13,0,7,55,q1,22,cl,20,4,12,22,11,15,CBU
2024,10,13,0,7,32,q1,-1,mct,5,4,12,22,11,15,CBU
2024,10,13,0,7,8,q1,22,TO,5,4,12,22,11,15,CBU
2024,10,13,0,7,1,q1,-1,ct,18,4,12,22,11,15,CBU
2024,10,13,0,6,37,q1,15,f,0,4,12,22,11,15,CBU
2024,10,13,0,6,37,q1,15,f,0,4,12,22,11,15,CBU
2024,10,13,0,6,23,q1,-1,ct,14,4,12,22,11,15,CBU
2024,10,13,0,6,23,q1,-1,f,0,4,12,22,11,15,CBU
2024,10,13,0,6,23,q1,0,sub,0,7,12,22,11,15,CBU
2024,10,13,0,6,14,q1,7,TO,16,7,12,22,11,15,CBU
2024,10,13,0,6,5,q1,-1,cr,16,7,12,22,11,15,CBU
2024,10,13,0,5,51,q1,11,mcl,14,7,12,22,11,15,CBU
2024,10,13,0,5,42,q1,-1,l,18,7,12,22,11,15,CBU
2024,10,13,0,5,25,q1,11,mct,12,7,12,22,11,15,CBU
2024,10,13,0,5,18,q1,0,sub,0,7,8,22,11,14,CBU
2024,10,13,0,5,9,q1,-1,cl,12,7,8,22,11,14,CBU
2024,10,13,0,4,45,q1,8,TO,6,7,8,22,11,14,CBU
2024,10,13,0,4,32,q1,-1,mcl,11,7,8,22,11,14,CBU
2024,10,13,0,4,30,q1,-1,mf,0,7,8,22,11,14,CBU
2024,10,13,0,4,30,q1,-1,f,0,7,8,22,11,14,CBU
2024,10,13,0,4,30,q1,0,sub,0,7,8,22,21,14,CBU
2024,10,13,0,4,9,q1,8,TO,5,7,8,22,21,14,CBU
2024,10,13,0,4,5,q1,-1,l,21,7,8,22,21,14,CBU
2024,10,13,0,4,5,q1,0,sub,0,7,13,22,21,14,CBU
2024,10,13,0,3,48,q1,21,TO,7,7,13,22,21,14,CBU
2024,10,13,0,3,38,q1,-1,f,0,7,13,22,21,14,CBU
2024,10,13,0,3,38,q1,-1,f,0,7,13,22,21,14,CBU
2024,10,13,0,3,38,q1,-1,mf,0,7,13,22,21,14,CBU
2024,10,13,0,3,15,q1,21,TO,3,7,13,22,21,14,CBU
2024,10,13,0,3,7,q1,-1,cl,17,7,13,22,21,14,CBU
2024,10,13,0,3,7,q1,-1,f,0,7,13,22,21,14,CBU
2024,10,13,0,3,7,q1,0,sub,0,7,13,22,11,14,CBU
2024,10,13,0,2,41,q1,22,mct,11,7,13,22,11,14,CBU
2024,10,13,0,2,35,q1,11,cl,11,7,13,22,11,14,CBU
2024,10,13,0,2,25,q1,-1,mcl,18,7,13,22,11,14,CBU
2024,10,13,0,2,14,q1,22,f,0,7,13,22,11,14,CBU
2024,10,13,0,2,14,q1,22,mf,0,7,13,22,11,14,CBU
2024,10,13,0,2,14,q1,0,sub,0,7,13,22,11,15,CBU
2024,10,13,0,2,10,q1,15,f,0,7,13,22,11,15,CBU
2024,10,13,0,2,10,q1,15,f,0,7,13,22,11,15,CBU
2024,10,13,0,2,0,q1,-1,f,0,7,13,22,11,15,CBU
2024,10,13,0,2,0,q1,-1,mf,0,7,13,22,11,15,CBU
