year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,10,18,0,10,0,q1,0,sub,0,4,12,22,11,15,UNB
2024,10,18,0,9,37,q1,-1,t,1,4,12,22,11,15,UNB
2024,10,18,0,9,17,q1,12,TO,10,4,12,22,11,15,UNB
2024,10,18,0,9,8,q1,-1,cl,17,4,12,22,11,15,UNB
2024,10,18,0,8,47,q1,15,mpcl,7,4,12,22,11,15,UNB
2024,10,18,0,8,34,q1,-1,mcr,15,4,12,22,11,15,UNB
2024,10,18,0,8,18,q1,11,t,11,4,12,22,11,15,UNB
2024,10,18,0,7,58,q1,-1,TO,10,4,12,22,11,15,UNB
2024,10,18,0,7,42,q1,12,mct,14,4,12,22,11,15,UNB
2024,10,18,0,7,29,q1,-1,TO,16,4,12,22,11,15,UNB
2024,10,18,0,7,23,q1,4,mt,19,4,12,22,11,15,UNB
2024,10,18,0,7,3,q1,-1,mpcl,10,4,12,22,11,15,UNB
2024,10,18,0,6,49,q1,22,mt,12,4,12,22,11,15,UNB
2024,10,18,0,6,35,q1,-1,t,14,4,12,22,11,15,UNB
2024,10,18,0,6,11,q1,11,mt,7,4,12,22,11,15,UNB
2024,10,18,0,5,49,q1,-1,mcl,6,4,12,22,11,15,UNB
2024,10,18,0,5,43,q1,-1,pcl,12,4,12,22,11,15,UNB
2024,10,18,0,5,23,q1,22,mt,8,4,12,22,11,15,UNB
2024,10,18,0,5,16,q1,-1,cl,21,4,12,22,11,15,UNB
2024,10,18,0,4,57,q1,4,cr,8,4,12,22,11,15,UNB
2024,10,18,0,4,43,q1,-1,TO,15,4,12,22,11,15,UNB
2024,10,18,0,4,43,q1,0,sub,0,4,5,22,21,15,UNB
2024,10,18,0,4,18,q1,15,mcr,4,4,5,22,21,15,UNB
2024,10,18,0,4,16,q1,0,sub,0,4,5,22,23,15,UNB
2024,10,18,0,4,0,q1,-1,t,8,4,5,22,23,15,UNB
2024,10,18,0,3,47,q1,5,mct,15,4,5,22,23,15,UNB
2024,10,18,0,3,33,q1,-1,mct,15,4,5,22,23,15,UNB
2024,10,18,0,3,24,q1,22,TO,20,4,5,22,23,15,UNB
2024,10,18,0,3,16,q1,-1,cl,16,4,5,22,23,15,UNB
2024,10,18,0,3,3,q1,23,TO,14,4,5,22,23,15,UNB
2024,10,18,0,2,55,q1,-1,mcl,18,4,5,22,23,15,UNB
2024,10,18,0,2,51,q1,-1,f,0,4,5,22,23,15,UNB
2024,10,18,0,2,51,q1,-1,mf,0,4,5,22,23,15,UNB
2024,10,18,0,2,51,q1,0,sub,0,4,5,22,23,14,UNB
2024,10,18,0,2,32,q1,22,f,0,4,5,22,23,14,UNB
2024,10,18,0,2,32,q1,22,f,0,4,5,22,23,14,UNB
2024,10,18,0,2,21,q1,-1,mct,14,4,5,22,23,14,UNB
2024,10,18,0,1,59,q1,23,TO,6,4,5,22,23,14,UNB
2024,10,18,0,1,48,q1,-1,TO,14,4,5,22,23,14,UNB
2024,10,18,0,1,43,q1,4,r,20,4,5,22,23,14,UNB
2024,10,18,0,1,37,q1,-1,TO,21,4,5,22,23,14,UNB
2024,10,18,0,1,28,q1,23,mt,6,4,5,22,23,14,UNB
2024,10,18,0,1,4,q1,-1,pcl,3,4,5,22,23,14,UNB
2024,10,18,0,0,51,q1,4,mt,14,4,5,22,23,14,UNB
2024,10,18,0,0,29,q1,-1,mcr,6,4,5,22,23,14,UNB
2024,10,18,0,0,3,q1,4,mcr,3,4,5,22,23,14,UNB
2024,10,18,0,10,0,q2,0,sub,0,5,7,22,23,14,UNB
2024,10,18,0,9,50,q2,23,mpct,16,5,7,22,23,14,UNB
2024,10,18,0,9,45,q2,23,cl,11,5,7,22,23,14,UNB
2024,10,18,0,9,24,q2,0,sub,0,5,7,3,23,14,UNB
2024,10,18,0,9,15,q2,-1,cr,6,5,7,3,23,14,UNB
2024,10,18,0,8,59,q2,23,mcr,11,5,7,3,23,14,UNB
2024,10,18,0,8,51,q2,23,TO,10,5,7,3,23,14,UNB
2024,10,18,0,8,51,q2,0,sub,0,5,7,3,11,14,UNB
2024,10,18,0,8,40,q2,-1,ct,13,5,7,3,11,14,UNB
2024,10,18,0,8,20,q2,11,mcl,9,5,7,3,11,14,UNB
2024,10,18,0,8,14,q2,7,mct,2,5,7,3,11,14,UNB
2024,10,18,0,8,4,q2,-1,mt,16,5,7,3,11,14,UNB
2024,10,18,0,7,45,q2,11,cl,10,5,7,3,11,14,UNB
2024,10,18,0,7,27,q2,0,sub,0,4,7,3,11,14,UNB
2024,10,18,0,7,19,q2,-1,ct,1,4,7,3,11,14,UNB
2024,10,18,0,7,1,q2,7,mcl,12,4,7,3,11,14,UNB
2024,10,18,0,6,46,q2,-1,mcr,13,4,7,3,11,14,UNB
2024,10,18,0,6,29,q2,3,t,10,4,7,3,11,14,UNB
2024,10,18,0,6,12,q2,-1,cl,12,4,7,3,11,14,UNB
2024,10,18,0,5,54,q2,4,TO,9,4,7,3,11,14,UNB
2024,10,18,0,5,43,q2,-1,pcl,14,4,7,3,11,14,UNB
2024,10,18,0,5,21,q2,3,mt,7,4,7,3,11,14,UNB
2024,10,18,0,5,10,q2,3,TO,5,4,7,3,11,14,UNB
2024,10,18,0,5,5,q2,-1,mcl,21,4,7,3,11,14,UNB
2024,10,18,0,5,4,q2,0,sub,0,4,7,3,11,15,UNB
2024,10,18,0,4,59,q2,-1,mt,15,4,7,3,11,15,UNB
2024,10,18,0,4,49,q2,4,f,0,4,7,3,11,15,UNB
2024,10,18,0,4,49,q2,4,f,0,4,7,3,11,15,UNB
2024,10,18,0,4,49,q2,0,sub,0,4,22,3,11,15,UNB
2024,10,18,0,4,37,q2,-1,f,0,4,22,3,11,15,UNB
2024,10,18,0,4,37,q2,-1,f,0,4,22,3,11,15,UNB
2024,10,18,0,4,37,q2,0,sub,0,4,8,3,11,15,UNB
2024,10,18,0,4,16,q2,11,TO,3,4,8,3,11,15,UNB
2024,10,18,0,3,56,q2,-1,mcr,4,4,8,3,11,15,UNB
2024,10,18,0,3,52,q2,0,sub,0,4,8,21,11,15,UNB
2024,10,18,0,3,41,q2,-1,mct,3,4,8,21,11,15,UNB
2024,10,18,0,3,32,q2,4,mf,0,4,8,21,11,15,UNB
2024,10,18,0,3,32,q2,4,f,0,4,8,21,11,15,UNB
2024,10,18,0,3,14,q2,-1,mpcr,7,4,8,21,11,15,UNB
2024,10,18,0,3,4,q2,-1,mct,5,4,8,21,11,15,UNB
2024,10,18,0,2,56,q2,15,l,20,4,8,21,11,15,UNB
2024,10,18,0,2,42,q2,-1,cr,13,4,8,21,11,15,UNB
2024,10,18,0,2,20,q2,4,mcl,5,4,8,21,11,15,UNB
2024,10,18,0,1,51,q2,-1,TO,1,4,8,21,11,15,UNB
2024,10,18,0,1,34,q2,15,mpcl,7,4,8,21,11,15,UNB
2024,10,18,0,1,20,q2,-1,mcl,13,4,8,21,11,15,UNB
2024,10,18,0,1,12,q2,11,f,0,4,8,21,11,15,UNB
2024,10,18,0,1,12,q2,11,f,0,4,8,21,11,15,UNB
2024,10,18,0,0,55,q2,-1,TO,7,4,8,21,11,15,UNB
2024,10,18,0,0,38,q2,11,mct,8,4,8,21,11,15,UNB
2024,10,18,0,0,24,q2,-1,TO,13,4,8,21,11,15,UNB
2024,10,18,0,0,20,q2,4,mct,20,4,8,21,11,15,UNB
2024,10,18,0,0,3,q2,-1,mct,3,4,8,21,11,15,UNB
2024,10,18,0,10,0,q3,0,sub,0,4,8,22,11,15,UNB
2024,10,18,0,9,39,q3,-1,TO,3,4,8,22,11,15,UNB
2024,10,18,0,9,31,q3,4,TO,17,4,8,22,11,15,UNB
2024,10,18,0,9,14,q3,-1,mct,8,4,8,22,11,15,UNB
2024,10,18,0,8,58,q3,4,mcr,12,4,8,22,11,15,UNB
2024,10,18,0,8,42,q3,-1,mcr,11,4,8,22,11,15,UNB
2024,10,18,0,8,35,q3,-1,cl,11,4,8,22,11,15,UNB
2024,10,18,0,8,19,q3,4,TO,8,4,8,22,11,15,UNB
2024,10,18,0,8,5,q3,-1,mcr,16,4,8,22,11,15,UNB
2024,10,18,0,8,2,q3,-1,mf,0,4,8,22,11,15,UNB
2024,10,18,0,8,2,q3,-1,mf,0,4,8,22,11,15,UNB
