year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,10,19,0,10,0,q1,0,sub,0,4,13,22,11,15,York
2024,10,19,0,9,48,q1,-1,cl,12,4,13,22,11,15,York
2024,10,19,0,9,31,q1,22,mcr,14,4,13,22,11,15,York
2024,10,19,0,9,15,q1,-1,mcl,12,4,13,22,11,15,York
2024,10,19,0,9,2,q1,11,mf,0,4,13,22,11,15,York
2024,10,19,0,9,2,q1,11,f,0,4,13,22,11,15,York
2024,10,19,0,8,47,q1,-1,TO,10,4,13,22,11,15,York
2024,10,19,0,8,33,q1,15,pcr,10,4,13,22,11,15,York
2024,10,19,0,8,11,q1,-1,cpl,6,4,13,22,11,15,York
2024,10,19,0,7,57,q1,22,cl,14,4,13,22,11,15,York
2024,10,19,0,7,37,q1,-1,TO,6,4,13,22,11,15,York
2024,10,19,0,7,19,q1,15,mpcl,9,4,13,22,11,15,York
2024,10,19,0,6,56,q1,-1,mct,5,4,13,22,11,15,York
2024,10,19,0,6,44,q1,13,mct,16,4,13,22,11,15,York
2024,10,19,0,6,22,q1,-1,TO,5,4,13,22,11,15,York
2024,10,19,0,6,17,q1,22,f,0,4,13,22,11,15,York
2024,10,19,0,6,17,q1,22,mf,0,4,13,22,11,15,York
2024,10,19,0,6,14,q1,-1,TO,14,4,13,22,11,15,York
2024,10,19,0,6,7,q1,15,f,0,4,13,22,11,15,York
2024,10,19,0,6,7,q1,15,mf,0,4,13,22,11,15,York
2024,10,19,0,5,55,q1,-1,mcr,14,4,13,22,11,15,York
2024,10,19,0,5,52,q1,-1,cl,14,4,13,22,11,15,York
2024,10,19,0,5,35,q1,13,mt,9,4,13,22,11,15,York
2024,10,19,0,5,25,q1,4,TO,1,4,13,22,11,15,York
2024,10,19,0,5,12,q1,-1,TO,12,4,13,22,11,15,York
2024,10,19,0,5,8,q1,22,cl,22,4,13,22,11,15,York
2024,10,19,0,4,49,q1,-1,mcr,10,4,13,22,11,15,York
2024,10,19,0,4,41,q1,13,t,19,4,13,22,11,15,York
2024,10,19,0,4,25,q1,-1,mcr,17,4,13,22,11,15,York
2024,10,19,0,4,19,q1,22,mct,20,4,13,22,11,15,York
2024,10,19,0,4,14,q1,0,sub,0,7,5,8,11,14,York
