year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,10,4,0,10,0,q1,0,sub,0,4,13,23,22,24,Guelph
2024,10,4,0,9,39,q1,-1,mcr,3,4,13,23,22,24,Guelph
2024,10,4,0,9,25,q1,23,mcl,13,4,13,23,22,24,Guelph
2024,10,4,0,9,1,q1,-1,mr,1,4,13,23,22,24,Guelph
2024,10,4,0,8,55,q1,-1,cl,13,4,13,23,22,24,Guelph
2024,10,4,0,8,36,q1,23,t,10,4,13,23,22,24,Guelph
2024,10,4,0,8,12,q1,-1,mcr,4,4,13,23,22,24,Guelph
2024,10,4,0,8,5,q1,-1,t,11,4,13,23,22,24,Guelph
2024,10,4,0,7,49,q1,23,mcl,14,4,13,23,22,24,Guelph
2024,10,4,0,7,48,q1,23,cl,13,4,13,23,22,24,Guelph
2024,10,4,0,7,33,q1,-1,TO,11,4,13,23,22,24,Guelph
2024,10,4,0,7,17,q1,24,mcl,5,4,13,23,22,24,Guelph
2024,10,4,0,6,54,q1,-1,mct,8,4,13,23,22,24,Guelph
2024,10,4,0,6,38,q1,-1,mcl,8,4,13,23,22,24,Guelph
2024,10,4,0,6,32,q1,4,TO,20,4,13,23,22,24,Guelph
2024,10,4,0,6,20,q1,-1,cl,12,4,13,23,22,24,Guelph
2024,10,4,0,5,49,q1,4,mcr,6,4,13,23,22,24,Guelph
2024,10,4,0,5,29,q1,-1,cl,6,4,13,23,22,24,Guelph
2024,10,4,0,5,10,q1,13,TO,8,4,13,23,22,24,Guelph
2024,10,4,0,4,57,q1,-1,TO,12,4,13,23,22,24,Guelph
2024,10,4,0,4,48,q1,22,TO,16,4,13,23,22,24,Guelph
2024,10,4,0,4,48,q1,0,sub,0,4,13,21,22,24,Guelph
2024,10,4,0,4,28,q1,-1,TO,5,4,13,21,22,24,Guelph
2024,10,4,0,4,28,q1,0,sub,0,4,12,21,22,24,Guelph
2024,10,4,0,4,19,q1,4,mct,15,4,12,21,22,24,Guelph
2024,10,4,0,3,57,q1,-1,cl,6,4,12,21,22,24,Guelph
2024,10,4,0,3,37,q1,4,t,9,4,12,21,22,24,Guelph
2024,10,4,0,3,24,q1,-1,cl,16,4,12,21,22,24,Guelph
2024,10,4,0,3,6,q1,24,mf,0,4,12,21,22,24,Guelph
2024,10,4,0,3,6,q1,24,f,0,4,12,21,22,24,Guelph
2024,10,4,0,3,6,q1,0,sub,0,7,12,21,22,15,Guelph
2024,10,4,0,2,49,q1,-1,cr,7,7,12,21,22,15,Guelph
2024,10,4,0,2,31,q1,0,sub,0,7,12,21,8,15,Guelph
2024,10,4,0,2,28,q1,15,mpcl,11,7,12,21,8,15,Guelph
2024,10,4,0,2,5,q1,-1,cr,6,7,12,21,8,15,Guelph
2024,10,4,0,1,45,q1,21,mcr,8,7,12,21,8,15,Guelph
2024,10,4,0,1,35,q1,-1,TO,18,7,12,21,8,15,Guelph
2024,10,4,0,1,23,q1,7,cr,8,7,12,21,8,15,Guelph
2024,10,4,0,1,9,q1,-1,mcr,13,7,12,21,8,15,Guelph
2024,10,4,0,0,59,q1,12,cl,17,7,12,21,8,15,Guelph
2024,10,4,0,0,59,q1,12,mf,0,7,12,21,8,15,Guelph
2024,10,4,0,0,47,q1,-1,TO,18,7,12,21,8,15,Guelph
2024,10,4,0,0,45,q1,12,mcl,22,7,12,21,8,15,Guelph
2024,10,4,0,0,31,q1,-1,TO,12,7,12,21,8,15,Guelph
2024,10,4,0,0,17,q1,7,mcr,10,7,12,21,8,15,Guelph
2024,10,4,0,0,1,q1,-1,mct,1,7,12,21,8,15,Guelph
2024,10,4,0,10,0,q2,0,sub,0,7,12,11,8,15,Guelph
2024,10,4,0,9,49,q2,12,mct,14,7,12,11,8,15,Guelph
2024,10,4,0,9,43,q2,8,cr,11,7,12,11,8,15,Guelph
2024,10,4,0,9,25,q2,-1,f,0,7,12,11,8,15,Guelph
2024,10,4,0,9,25,q2,-1,f,0,7,12,11,8,15,Guelph
2024,10,4,0,9,2,q2,15,mcr,6,7,12,11,8,15,Guelph
2024,10,4,0,8,54,q2,0,sub,0,7,12,11,8,24,Guelph
2024,10,4,0,8,44,q2,12,mct,5,7,12,11,8,24,Guelph
2024,10,4,0,8,28,q2,-1,mct,10,7,12,11,8,24,Guelph
2024,10,4,0,8,18,q2,0,sub,0,4,12,11,8,24,Guelph
2024,10,4,0,8,12,q2,11,mcr,12,4,12,11,8,24,Guelph
2024,10,4,0,8,1,q2,-1,mt,15,4,12,11,8,24,Guelph
2024,10,4,0,7,46,q2,-1,cr,3,4,12,11,8,24,Guelph
2024,10,4,0,7,22,q2,24,cpl,5,4,12,11,8,24,Guelph
2024,10,4,0,7,9,q2,-1,cpl,15,4,12,11,8,24,Guelph
2024,10,4,0,6,52,q2,12,mcl,12,4,12,11,8,24,Guelph
2024,10,4,0,6,35,q2,-1,mcpl,11,4,12,11,8,24,Guelph
2024,10,4,0,6,21,q2,11,t,13,4,12,11,8,24,Guelph
2024,10,4,0,6,16,q2,0,sub,0,4,22,11,23,24,Guelph
2024,10,4,0,6,9,q2,-1,TO,17,4,22,11,23,24,Guelph
2024,10,4,0,5,47,q2,11,mcl,5,4,22,11,23,24,Guelph
2024,10,4,0,5,42,q2,24,f,0,4,22,11,23,24,Guelph
2024,10,4,0,5,42,q2,24,f,0,4,22,11,23,24,Guelph
2024,10,4,0,5,20,q2,-1,mcr,2,4,22,11,23,24,Guelph
