year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,10,5,0,10,0,q1,0,sub,0,4,13,22,23,24,UofT
2024,10,5,0,9,54,q1,-1,TO,18,4,13,22,23,24,UofT
2024,10,5,0,9,37,q1,4,mct,5,4,13,22,23,24,UofT
2024,10,5,0,9,25,q1,-1,mt,16,4,13,22,23,24,UofT
2024,10,5,0,9,17,q1,23,mt,20,4,13,22,23,24,UofT
2024,10,5,0,8,57,q1,-1,mt,6,4,13,22,23,24,UofT
2024,10,5,0,8,40,q1,24,mcl,13,4,13,22,23,24,UofT
2024,10,5,0,8,25,q1,-1,TO,10,4,13,22,23,24,UofT
2024,10,5,0,8,20,q1,13,mcl,20,4,13,22,23,24,UofT
2024,10,5,0,7,58,q1,-1,mct,4,4,13,22,23,24,UofT
2024,10,5,0,7,45,q1,4,t,14,4,13,22,23,24,UofT
2024,10,5,0,7,34,q1,-1,ml,17,4,13,22,23,24,UofT
2024,10,5,0,7,24,q1,-1,mcl,10,4,13,22,23,24,UofT
2024,10,5,0,7,18,q1,-1,TO,10,4,13,22,23,24,UofT
2024,10,5,0,7,10,q1,23,TO,16,4,13,22,23,24,UofT
2024,10,5,0,7,10,q1,0,sub,0,4,13,22,21,24,UofT
2024,10,5,0,6,51,q1,-1,ct,6,4,13,22,21,24,UofT
2024,10,5,0,6,29,q1,24,TO,6,4,13,22,21,24,UofT
2024,10,5,0,6,12,q1,-1,cl,9,4,13,22,21,24,UofT
2024,10,5,0,5,58,q1,13,mt,15,4,13,22,21,24,UofT
2024,10,5,0,5,42,q1,0,sub,0,4,13,22,21,15,UofT
2024,10,5,0,5,19,q1,-1,mcl,3,4,13,22,21,15,UofT
2024,10,5,0,5,16,q1,-1,TO,12,4,13,22,21,15,UofT
2024,10,5,0,4,56,q1,22,f,0,4,13,22,21,15,UofT
2024,10,5,0,4,56,q1,22,f,0,4,13,22,21,15,UofT
2024,10,5,0,4,36,q1,-1,TO,7,4,13,22,21,15,UofT
2024,10,5,0,4,28,q1,15,TO,12,4,13,22,21,15,UofT
2024,10,5,0,4,28,q1,0,sub,0,4,10,22,21,15,UofT
2024,10,5,0,4,18,q1,-1,cl,16,4,10,22,21,15,UofT
2024,10,5,0,4,3,q1,21,pcl,12,4,10,22,21,15,UofT
2024,10,5,0,3,43,q1,-1,TO,10,4,10,22,21,15,UofT
2024,10,5,0,3,23,q1,22,t,9,4,10,22,21,15,UofT
2024,10,5,0,2,57,q1,-1,mct,1,4,10,22,21,15,UofT
