year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,11,7,0,10,0,q1,0,sub,0,4,13,22,23,15,Bishops
2024,11,7,0,9,40,q1,4,mt,5,4,13,22,23,15,Bishops
2024,11,7,0,9,33,q1,-1,mt,22,4,13,22,23,15,Bishops
2024,11,7,0,9,19,q1,15,pcl,14,4,13,22,23,15,Bishops
2024,11,7,0,9,0,q1,-1,mr,10,4,13,22,23,15,Bishops
2024,11,7,0,8,49,q1,4,TO,19,4,13,22,23,15,Bishops
2024,11,7,0,8,41,q1,-1,TO,19,4,13,22,23,15,Bishops
2024,11,7,0,8,31,q1,23,ct,16,4,13,22,23,15,Bishops
2024,11,7,0,8,11,q1,-1,pcl,10,4,13,22,23,15,Bishops
2024,11,7,0,7,56,q1,22,ct,14,4,13,22,23,15,Bishops
2024,11,7,0,7,46,q1,-1,cr,19,4,13,22,23,15,Bishops
2024,11,7,0,7,34,q1,13,ct,16,4,13,22,23,15,Bishops
2024,11,7,0,7,13,q1,-1,TO,9,4,13,22,23,15,Bishops
2024,11,7,0,7,3,q1,23,mcl,12,4,13,22,23,15,Bishops
2024,11,7,0,7,2,q1,23,mcls,12,4,13,22,23,15,Bishops
2024,11,7,0,6,53,q1,-1,cr,17,4,13,22,23,15,Bishops
2024,11,7,0,6,43,q1,22,TO,17,4,13,22,23,15,Bishops
2024,11,7,0,6,27,q1,-1,pcl,9,4,13,22,23,15,Bishops
2024,11,7,0,6,20,q1,23,TO,22,4,13,22,23,15,Bishops
2024,11,7,0,6,13,q1,-1,mcl,19,4,13,22,23,15,Bishops
2024,11,7,0,5,53,q1,4,mcr,7,4,13,22,23,15,Bishops
2024,11,7,0,5,36,q1,-1,mt,11,4,13,22,23,15,Bishops
2024,11,7,0,5,28,q1,13,mt,19,4,13,22,23,15,Bishops
2024,11,7,0,5,18,q1,-1,cl,19,4,13,22,23,15,Bishops
2024,11,7,0,4,59,q1,4,mct,11,4,13,22,23,15,Bishops
2024,11,7,0,4,47,q1,-1,pcr,17,4,13,22,23,15,Bishops
2024,11,7,0,4,41,q1,0,sub,0,4,12,22,21,24.1,Bishops
2024,11,7,0,4,39,q1,-1,mct,22,4,12,22,21,24.1,Bishops
2024,11,7,0,4,31,q1,4,TO,19,4,12,22,21,24.1,Bishops
2024,11,7,0,4,29,q1,-1,l,22,4,12,22,21,24.1,Bishops
2024,11,7,0,4,15,q1,12,TO,16,4,12,22,21,24.1,Bishops
2024,11,7,0,4,9,q1,-1,l,19,4,12,22,21,24.1,Bishops
2024,11,7,0,3,49,q1,4,mcl,10,4,12,22,21,24.1,Bishops
2024,11,7,0,3,46,q1,22,mcts,14,4,12,22,21,24.1,Bishops
2024,11,7,0,3,39,q1,24.1,cls,11,4,12,22,21,24.1,Bishops
2024,11,7,0,3,39,q1,24.1,f,0,4,12,22,21,24.1,Bishops
2024,11,7,0,3,29,q1,-1,mcl,16,4,12,22,21,24.1,Bishops
2024,11,7,0,3,28,q1,-1,mcls,14,4,12,22,21,24.1,Bishops
2024,11,7,0,3,18,q1,4,f,0,4,12,22,21,24.1,Bishops
2024,11,7,0,3,18,q1,4,f,0,4,12,22,21,24.1,Bishops
2024,11,7,0,3,6,q1,-1,mcl,12,4,12,22,21,24.1,Bishops
2024,11,7,0,3,1,q1,12,t,21,4,12,22,21,24.1,Bishops
2024,11,7,0,2,54,q1,-1,t,22,4,12,22,21,24.1,Bishops
2024,11,7,0,2,39,q1,4,TO,13,4,12,22,21,24.1,Bishops
2024,11,7,0,2,29,q1,-1,t,16,4,12,22,21,24.1,Bishops
2024,11,7,0,2,7,q1,21,TO,8,4,12,22,21,24.1,Bishops
2024,11,7,0,2,0,q1,-1,TO,18,4,12,22,21,24.1,Bishops
2024,11,7,0,2,0,q1,0,sub,0,4,12,8,21,24.1,Bishops
2024,11,7,0,1,44,q1,21,cl,8,4,12,8,21,24.1,Bishops
2024,11,7,0,1,44,q1,21,mf,0,4,12,8,21,24.1,Bishops
2024,11,7,0,1,26,q1,-1,TO,6,4,12,8,21,24.1,Bishops
2024,11,7,0,1,9,q1,24.1,mt,7,4,12,8,21,24.1,Bishops
2024,11,7,0,0,53,q1,-1,TO,13,4,12,8,21,24.1,Bishops
2024,11,7,0,0,48,q1,4,cl,20,4,12,8,21,24.1,Bishops
2024,11,7,0,0,48,q1,4,f,0,4,12,8,21,24.1,Bishops
2024,11,7,0,0,36,q1,-1,cl,14,4,12,8,21,24.1,Bishops
2024,11,7,0,0,36,q1,-1,mf,0,4,12,8,21,24.1,Bishops
2024,11,7,0,0,27,q1,8,ct,18,4,12,8,21,24.1,Bishops
2024,11,7,0,0,11,q1,-1,ct,11,4,12,8,21,24.1,Bishops
2024,11,7,0,0,1,q1,21,mct,1,4,12,8,21,24.1,Bishops
2024,11,7,0,10,0,q2,0,sub,0,4,12,8,21,24.1,Bishops
2024,11,7,0,9,45,q2,-1,mpcl,10,4,12,8,21,24.1,Bishops
2024,11,7,0,9,39,q2,12,mct,21,4,12,8,21,24.1,Bishops
2024,11,7,0,9,28,q2,4,mr,8,4,12,8,21,24.1,Bishops
2024,11,7,0,9,20,q2,-1,cl,2,4,12,8,21,24.1,Bishops
2024,11,7,0,8,59,q2,21,cl,7,4,12,8,21,24.1,Bishops
2024,11,7,0,8,41,q2,-1,f,0,4,12,8,21,24.1,Bishops
2024,11,7,0,8,41,q2,-1,mf,0,4,12,8,21,24.1,Bishops
2024,11,7,0,8,41,q2,0,sub,0,4,22,8,21,15,Bishops
2024,11,7,0,8,18,q2,22,mcr,8,4,22,8,21,15,Bishops
2024,11,7,0,8,1,q2,-1,mcr,9,4,22,8,21,15,Bishops
2024,11,7,0,7,49,q2,22,mcr,19,4,22,8,21,15,Bishops
2024,11,7,0,7,43,q2,8,mcr,9,4,22,8,21,15,Bishops
2024,11,7,0,7,23,q2,-1,mt,7,4,22,8,21,15,Bishops
2024,11,7,0,7,13,q2,-1,ts,3,4,22,8,21,15,Bishops
2024,11,7,0,6,57,q2,22,mcl,14,4,22,8,21,15,Bishops
2024,11,7,0,6,47,q2,15,TOs,18,4,22,8,21,15,Bishops
2024,11,7,0,6,47,q2,0,sub,0,4,22,13,23,15,Bishops
2024,11,7,0,6,37,q2,-1,mct,16,4,22,13,23,15,Bishops
2024,11,7,0,6,32,q2,-1,ts,9,4,22,13,23,15,Bishops
2024,11,7,0,6,20,q2,23,mcr,15,4,22,13,23,15,Bishops
2024,11,7,0,6,9,q2,-1,mcl,18,4,22,13,23,15,Bishops
2024,11,7,0,5,51,q2,23,mt,10,4,22,13,23,15,Bishops
2024,11,7,0,5,37,q2,-1,TO,14,4,22,13,23,15,Bishops
2024,11,7,0,5,26,q2,13,TO,13,4,22,13,23,15,Bishops
2024,11,7,0,5,9,q2,-1,mt,8,4,22,13,23,15,Bishops
2024,11,7,0,4,51,q2,15,cpl,10,4,22,13,23,15,Bishops
2024,11,7,0,4,38,q2,-1,cr,15,4,22,13,23,15,Bishops
2024,11,7,0,4,19,q2,23,f,0,4,22,13,23,15,Bishops
2024,11,7,0,4,19,q2,23,f,0,4,22,13,23,15,Bishops
2024,11,7,0,4,7,q2,-1,mt,13,4,22,13,23,15,Bishops
2024,11,7,0,3,59,q2,-1,ct,12,4,22,13,23,15,Bishops
2024,11,7,0,3,41,q2,22,cl,11,4,22,13,23,15,Bishops
2024,11,7,0,3,22,q2,-1,mf,0,4,22,13,23,15,Bishops
2024,11,7,0,3,22,q2,-1,f,0,4,22,13,23,15,Bishops
2024,11,7,0,3,22,q2,0,sub,0,4,22,8,23,24.1,Bishops
2024,11,7,0,3,13,q2,24.1,TO,14,4,22,8,23,24.1,Bishops
2024,11,7,0,3,10,q2,-1,l,22,4,22,8,23,24.1,Bishops
2024,11,7,0,2,53,q2,4,f,0,4,22,8,23,24.1,Bishops
2024,11,7,0,2,53,q2,4,f,0,4,22,8,23,24.1,Bishops
2024,11,7,0,2,39,q2,-1,mct,11,4,22,8,23,24.1,Bishops
2024,11,7,0,2,32,q2,23,TO,20,4,22,8,23,24.1,Bishops
2024,11,7,0,2,19,q2,-1,mcr,12,4,22,8,23,24.1,Bishops
2024,11,7,0,1,59,q2,8,mt,7,4,22,8,23,24.1,Bishops
2024,11,7,0,1,47,q2,-1,mct,17,4,22,8,23,24.1,Bishops
2024,11,7,0,1,39,q2,22,mt,18,4,22,8,23,24.1,Bishops
2024,11,7,0,1,26,q2,-1,mct,18,4,22,8,23,24.1,Bishops
2024,11,7,0,1,22,q2,23,f,0,4,22,8,23,24.1,Bishops
2024,11,7,0,1,22,q2,23,mf,0,4,22,8,23,24.1,Bishops
2024,11,7,0,1,13,q2,24.1,mcpr,7,4,22,8,23,24.1,Bishops
2024,11,7,0,1,2,q2,-1,mcl,15,4,22,8,23,24.1,Bishops
2024,11,7,0,0,49,q2,23,TO,16,4,22,8,23,24.1,Bishops
2024,11,7,0,0,29,q2,-1,TO,5,4,22,8,23,24.1,Bishops
2024,11,7,0,0,22,q2,4,cr,18,4,22,8,23,24.1,Bishops
2024,11,7,0,0,1,q2,-1,f,0,4,22,8,23,24.1,Bishops
