year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,8,1,0,10,0,q1,0,sub,0,4,12,14,20,15,AF
2024,8,1,0,9,44,q1,-1,mct,9,4,12,14,20,15,AF
2024,8,1,0,9,23,q1,15,f,0,4,12,14,20,15,AF
2024,8,1,0,9,23,q1,15,f,0,4,12,14,20,15,AF
2024,8,1,0,9,3,q1,-1,mcl,5,4,12,14,20,15,AF
2024,8,1,0,8,48,q1,20,r,11,4,12,14,20,15,AF
2024,8,1,0,8,24,q1,-1,mcpr,5,4,12,14,20,15,AF
2024,8,1,0,8,15,q1,12,mt,19,4,12,14,20,15,AF
2024,8,1,0,8,5,q1,15,mpcl,7,4,12,14,20,15,AF
2024,8,1,0,7,41,q1,-1,mt,14,4,12,14,20,15,AF
2024,8,1,0,7,33,q1,20,mcr,20,4,12,14,20,15,AF
2024,8,1,0,7,19,q1,-1,mct,13,4,12,14,20,15,AF
2024,8,1,0,7,2,q1,20,mct,11,4,12,14,20,15,AF
2024,8,1,0,6,54,q1,4,TO,4,4,12,14,20,15,AF
2024,8,1,0,6,36,q1,-1,TO,7,4,12,14,20,15,AF
2024,8,1,0,6,14,q1,4,mr,14,4,12,14,20,15,AF
2024,8,1,0,5,51,q1,-1,mpct,8,4,12,14,20,15,AF
2024,8,1,0,5,47,q1,0,sub,0,4,12,14,20,24,AF
2024,8,1,0,5,38,q1,4,mct,14,4,12,14,20,24,AF
2024,8,1,0,5,14,q1,-1,mct,5,4,12,14,20,24,AF
2024,8,1,0,5,10,q1,-1,cl,2,4,12,14,20,24,AF
2024,8,1,0,5,10,q1,-1,mf,0,4,12,14,20,24,AF
2024,8,1,0,5,10,q1,0,sub,0,4,10,14,20,24,AF
2024,8,1,0,4,52,q1,24,TO,12,4,10,14,20,24,AF
2024,8,1,0,4,52,q1,0,sub,0,7,10,14,20,24,AF
2024,8,1,0,4,32,q1,-1,pcl,5,7,10,14,20,24,AF
2024,8,1,0,4,17,q1,20,mcl,15,7,10,14,20,24,AF
2024,8,1,0,4,7,q1,-1,l,15,7,10,14,20,24,AF
2024,8,1,0,3,47,q1,20,ct,10,7,10,14,20,24,AF
2024,8,1,0,3,32,q1,-1,cpl,15,7,10,14,20,24,AF
2024,8,1,0,3,20,q1,24,mcpl,13,7,10,14,20,24,AF
2024,8,1,0,3,11,q1,20,mct,7,7,10,14,20,24,AF
2024,8,1,0,3,4,q1,7,mct,1,7,10,14,20,24,AF
2024,8,1,0,2,48,q1,-1,TO,12,7,10,14,20,24,AF
2024,8,1,0,2,48,q1,0,sub,0,7,10,21,20,15,AF
2024,8,1,0,2,34,q1,15,TO,10,7,10,21,20,15,AF
2024,8,1,0,2,17,q1,-1,TO,8,7,10,21,20,15,AF
2024,8,1,0,2,7,q1,15,pcl,16,7,10,21,20,15,AF
2024,8,1,0,1,53,q1,-1,mt,13,7,10,21,20,15,AF
2024,8,1,0,1,42,q1,7,ct,17,7,10,21,20,15,AF
2024,8,1,0,1,13,q1,-1,mct,8,7,10,21,20,15,AF
2024,8,1,0,1,3,q1,0,sub,0,7,10,21,8,15,AF
2024,8,1,0,0,57,q1,15,cr,5,7,10,21,8,15,AF
2024,8,1,0,0,37,q1,-1,TO,5,7,10,21,8,15,AF
2024,8,1,0,0,26,q1,8,mr,13,7,10,21,8,15,AF
2024,8,1,0,0,9,q1,-1,mpcr,9,7,10,21,8,15,AF
2024,8,1,0,0,1,q1,7,mct,1,7,10,21,8,15,AF
2024,8,1,0,10,0,q2,0,sub,0,7,10,21,8,15,AF
2024,8,1,0,9,51,q2,8,mcl,16,7,10,21,8,15,AF
2024,8,1,0,9,23,q2,-1,TO,1,7,10,21,8,15,AF
2024,8,1,0,9,20,q2,7,mcl,21,7,10,21,8,15,AF
2024,8,1,0,9,1,q2,-1,mf,0,7,10,21,8,15,AF
2024,8,1,0,9,1,q2,-1,f,0,7,10,21,8,15,AF
2024,8,1,0,8,50,q2,15,cpr,13,7,10,21,8,15,AF
2024,8,1,0,8,37,q2,-1,cpr,17,7,10,21,8,15,AF
2024,8,1,0,8,24,q2,7,cl,16,7,10,21,8,15,AF
2024,8,1,0,8,24,q2,7,mf,0,7,10,21,8,15,AF
2024,8,1,0,8,24,q2,0,sub,0,7,12,21,8,15,AF
2024,8,1,0,8,14,q2,15,cpl,7,7,12,21,8,15,AF
2024,8,1,0,8,1,q2,-1,cpr,14,7,12,21,8,15,AF
2024,8,1,0,7,41,q2,12,t,11,7,12,21,8,15,AF
2024,8,1,0,7,28,q2,-1,mct,17,7,12,21,8,15,AF
2024,8,1,0,7,19,q2,0,sub,0,4,12,21,8,15,AF
2024,8,1,0,7,12,q2,15,mcpl,11,4,12,21,8,15,AF
2024,8,1,0,7,0,q2,-1,mcl,14,4,12,21,8,15,AF
2024,8,1,0,6,54,q2,12,f,0,4,12,21,8,15,AF
2024,8,1,0,6,54,q2,12,f,0,4,12,21,8,15,AF
2024,8,1,0,6,54,q2,0,sub,0,4,12,21,8,24,AF
2024,8,1,0,6,35,q2,-1,t,7,4,12,21,8,24,AF
2024,8,1,0,6,20,q2,4,mcl,13,4,12,21,8,24,AF
