year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,8,20,0,10,0,q1,0,sub,0,4,11,14,20,15,CatholicU
2024,8,20,0,9,50,q1,4,mt,17,4,11,14,20,15,CatholicU
2024,8,20,0,9,30,q1,-1,TO,6,4,11,14,20,15,CatholicU
2024,8,20,0,9,3,q1,15,r,8,4,11,14,20,15,CatholicU
2024,8,20,0,8,47,q1,-1,mct,4,4,11,14,20,15,CatholicU
2024,8,20,0,8,40,q1,20,mcl,18,4,11,14,20,15,CatholicU
2024,8,20,0,8,30,q1,-1,mct,18,4,11,14,20,15,CatholicU
2024,8,20,0,8,20,q1,-1,mpcr,9,4,11,14,20,15,CatholicU
2024,8,20,0,8,10,q1,4,mr,14,4,11,14,20,15,CatholicU
2024,8,20,0,8,0,q1,-1,TO,18,4,11,14,20,15,CatholicU
2024,8,20,0,7,45,q1,15,TO,10,4,11,14,20,15,CatholicU
2024,8,20,0,7,34,q1,-1,cmr,11,4,11,14,20,15,CatholicU
2024,8,20,0,7,20,q1,15,mf,0,4,11,14,20,15,CatholicU
2024,8,20,0,7,20,q1,15,f,0,4,11,14,20,15,CatholicU
2024,8,20,0,6,43,q1,-1,mct,1,4,11,14,20,15,CatholicU
2024,8,20,0,6,38,q1,-1,mcpl,10,4,11,14,20,15,CatholicU
2024,8,20,0,6,20,q1,4,mt,13,4,11,14,20,15,CatholicU
2024,8,20,0,6,14,q1,-1,mt,15,4,11,14,20,15,CatholicU
2024,8,20,0,6,10,q1,15,mcpl,20,4,11,14,20,15,CatholicU
2024,8,20,0,5,59,q1,-1,mct,19,4,11,14,20,15,CatholicU
2024,8,20,0,5,55,q1,0,sub,0,4,11,21,20,15,CatholicU
2024,8,20,0,5,48,q1,-1,cr,17,4,11,21,20,15,CatholicU
2024,8,20,0,5,30,q1,11,mt,11,4,11,21,20,15,CatholicU
2024,8,20,0,5,16,q1,0,sub,0,7,11,21,20,15,CatholicU
2024,8,20,0,5,7,q1,-1,cr,15,7,11,21,20,15,CatholicU
2024,8,20,0,4,47,q1,20,ct,6,7,11,21,20,15,CatholicU
2024,8,20,0,4,30,q1,-1,mcr,14,7,11,21,20,15,CatholicU
2024,8,20,0,4,20,q1,21,cl,14,7,11,21,20,15,CatholicU
2024,8,20,0,4,20,q1,21,f,0,7,11,21,20,15,CatholicU
2024,8,20,0,4,20,q1,0,sub,0,7,12,21,20,24,CatholicU
2024,8,20,0,3,55,q1,-1,cr,4,7,12,21,20,24,CatholicU
2024,8,20,0,3,45,q1,12,ct,14,7,12,21,20,24,CatholicU
2024,8,20,0,3,29,q1,-1,l,21,7,12,21,20,24,CatholicU
2024,8,20,0,3,10,q1,24,TO,9,7,12,21,20,24,CatholicU
2024,8,20,0,3,0,q1,-1,mr,19,7,12,21,20,24,CatholicU
2024,8,20,0,2,52,q1,24,TO,16,7,12,21,20,24,CatholicU
2024,8,20,0,2,50,q1,0,sub,0,7,12,21,8,24,CatholicU
