year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,8,6,0,10,0,q1,0,sub,0,4,12,14,20,15,Albany
2024,8,6,0,9,50,q1,14,mct,16,4,12,14,20,15,Albany
2024,8,6,0,9,46,q1,-1,ct,20,4,12,14,20,15,Albany
2024,8,6,0,9,35,q1,20,mct,13,4,12,14,20,15,Albany
2024,8,6,0,9,15,q1,-1,ct,17,4,12,14,20,15,Albany
2024,8,6,0,8,58,q1,12,mcl,14,4,12,14,20,15,Albany
2024,8,6,0,8,56,q1,15,mcl,14,4,12,14,20,15,Albany
2024,8,6,0,8,40,q1,4,mct,5,4,12,14,20,15,Albany
2024,8,6,0,8,36,q1,20,mcr,1,4,12,14,20,15,Albany
2024,8,6,0,8,28,q1,-1,cl,18,4,12,14,20,15,Albany
2024,8,6,0,8,8,q1,4,cl,8,4,12,14,20,15,Albany
2024,8,6,0,7,50,q1,-1,pcl,9,4,12,14,20,15,Albany
2024,8,6,0,7,45,q1,14,TO,19,4,12,14,20,15,Albany
2024,8,6,0,7,36,q1,-1,ct,21,4,12,14,20,15,Albany
2024,8,6,0,7,30,q1,20,TO,20,4,12,14,20,15,Albany
2024,8,6,0,7,20,q1,-1,TO,18,4,12,14,20,15,Albany
2024,8,6,0,7,8,q1,0,sub,0,4,12,25,20,15,Albany
2024,8,6,0,7,6,q1,4,cr,14,4,12,25,20,15,Albany
2024,8,6,0,6,57,q1,-1,ct,19,4,12,25,20,15,Albany
2024,8,6,0,6,45,q1,25,TO,12,4,12,25,20,15,Albany
2024,8,6,0,6,29,q1,-1,mt,16,4,12,25,20,15,Albany
2024,8,6,0,6,18,q1,4,f,0,4,12,25,20,15,Albany
2024,8,6,0,6,18,q1,4,f,0,4,12,25,20,15,Albany
2024,8,6,0,6,18,q1,0,sub,0,4,13,25,20,15,Albany
2024,8,6,0,5,50,q1,-1,TO,1,4,13,25,20,15,Albany
2024,8,6,0,5,40,q1,20,f,0,4,13,25,20,15,Albany
2024,8,6,0,5,40,q1,20,f,0,4,13,25,20,15,Albany
2024,8,6,0,5,14,q1,-1,TO,1,4,13,25,20,15,Albany
2024,8,6,0,4,59,q1,4,mct,10,4,13,25,20,15,Albany
2024,8,6,0,4,52,q1,-1,ct,19,4,13,25,20,15,Albany
2024,8,6,0,4,39,q1,25,ct,15,4,13,25,20,15,Albany
2024,8,6,0,4,12,q1,-1,cl,5,4,13,25,20,15,Albany
2024,8,6,0,3,55,q1,0,sub,0,4,13,25,8,24,Albany
2024,8,6,0,3,40,q1,13,TO,2,4,13,25,8,24,Albany
