year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2024,9,28,0,10,0,q1,0,sub,0,4,13,23,22,24,Queens
2024,9,28,0,9,36,q1,22,mct,1,4,13,23,22,24,Queens
2024,9,28,0,9,26,q1,-1,mcr,17,4,13,23,22,24,Queens
2024,9,28,0,9,7,q1,4,t,14,4,13,23,22,24,Queens
2024,9,28,0,8,54,q1,-1,mcpl,17,4,13,23,22,24,Queens
2024,9,28,0,8,52,q1,-1,cl,14,4,13,23,22,24,Queens
2024,9,28,0,8,43,q1,4,l,19,4,13,23,22,24,Queens
2024,9,28,0,8,28,q1,-1,TO,11,4,13,23,22,24,Queens
2024,9,28,0,8,18,q1,24,mcl,15,4,13,23,22,24,Queens
2024,9,28,0,8,8,q1,-1,TO,15,4,13,23,22,24,Queens
2024,9,28,0,7,58,q1,13,mcr,18,4,13,23,22,24,Queens
2024,9,28,0,7,52,q1,-1,mct,18,4,13,23,22,24,Queens
2024,9,28,0,7,40,q1,22,mcr,16,4,13,23,22,24,Queens
2024,9,28,0,7,34,q1,4,mr,12,4,13,23,22,24,Queens
2024,9,28,0,7,23,q1,-1,mcl,16,4,13,23,22,24,Queens
2024,9,28,0,7,20,q1,-1,cl,14,4,13,23,22,24,Queens
2024,9,28,0,7,4,q1,4,ct,13,4,13,23,22,24,Queens
2024,9,28,0,6,47,q1,-1,cl,12,4,13,23,22,24,Queens
2024,9,28,0,6,40,q1,23,mct,18,4,13,23,22,24,Queens
2024,9,28,0,6,31,q1,-1,mf,0,4,13,23,22,24,Queens
2024,9,28,0,6,31,q1,-1,f,0,4,13,23,22,24,Queens
2024,9,28,0,6,29,q1,23,TO,20,4,13,23,22,24,Queens
2024,9,28,0,6,25,q1,-1,mcl,22,4,13,23,22,24,Queens
2024,9,28,0,6,17,q1,-1,mt,11,4,13,23,22,24,Queens
2024,9,28,0,6,9,q1,-1,mct,11,4,13,23,22,24,Queens
2024,9,28,0,6,5,q1,-1,mt,13,4,13,23,22,24,Queens
2024,9,28,0,5,55,q1,22,cl,18,4,13,23,22,24,Queens
2024,9,28,0,5,44,q1,0,sub,0,4,7,23,22,15,Queens
2024,9,28,0,5,29,q1,7,mcl,10,4,7,23,22,15,Queens
2024,9,28,0,5,17,q1,-1,ct,16,4,7,23,22,15,Queens
2024,9,28,0,5,1,q1,23,mct,15,4,7,23,22,15,Queens
2024,9,28,0,4,55,q1,0,sub,0,4,7,21,22,15,Queens
2024,9,28,0,4,54,q1,15,mcl,13,4,7,21,22,15,Queens
2024,9,28,0,4,39,q1,-1,cl,14,4,7,21,22,15,Queens
2024,9,28,0,4,23,q1,22,TO,14,4,7,21,22,15,Queens
2024,9,28,0,4,10,q1,-1,TO,13,4,7,21,22,15,Queens
2024,9,28,0,4,10,q1,21,l,22,4,7,21,22,15,Queens
2024,9,28,0,3,53,q1,-1,mt,14,4,7,21,22,15,Queens
2024,9,28,0,3,46,q1,-1,cr,14,4,7,21,22,15,Queens
2024,9,28,0,3,32,q1,4,t,18,4,7,21,22,15,Queens
2024,9,28,0,3,17,q1,-1,TO,14,4,7,21,22,15,Queens
2024,9,28,0,3,14,q1,4,ct,20,4,7,21,22,15,Queens
2024,9,28,0,2,51,q1,-1,TO,8,4,7,21,22,15,Queens
2024,9,28,0,2,51,q1,0,sub,0,5,7,21,22,15,Queens
2024,9,28,0,2,45,q1,21,cl,19,5,7,21,22,15,Queens
2024,9,28,0,2,27,q1,-1,mt,12,5,7,21,22,15,Queens
2024,9,28,0,2,20,q1,-1,mct,10,5,7,21,22,15,Queens
2024,9,28,0,1,58,q1,7,mt,6,5,7,21,22,15,Queens
2024,9,28,0,1,50,q1,-1,mcl,22,5,7,21,22,15,Queens
2024,9,28,0,1,49,q1,-1,cl,22,5,7,21,22,15,Queens
2024,9,28,0,1,40,q1,7,TO,22,5,7,21,22,15,Queens
2024,9,28,0,1,40,q1,-1,mcpl,21,5,7,21,22,15,Queens
2024,9,28,0,1,28,q1,21,TO,18,5,7,21,22,15,Queens
2024,9,28,0,1,21,q1,-1,mct,18,5,7,21,22,15,Queens
2024,9,28,0,1,10,q1,22,l,20,5,7,21,22,15,Queens
2024,9,28,0,1,5,q1,-1,TO,22,5,7,21,22,15,Queens
2024,9,28,0,1,2,q1,21,l,21,5,7,21,22,15,Queens
2024,9,28,0,0,46,q1,-1,mct,10,5,7,21,22,15,Queens
2024,9,28,0,0,30,q1,7,TO,17,5,7,21,22,15,Queens
2024,9,28,0,0,24,q1,-1,mr,17,5,7,21,22,15,Queens
2024,9,28,0,0,5,q1,-1,mcr,2,5,7,21,22,15,Queens
2024,9,28,0,10,0,q2,0,sub,0,5,7,21,22,15,Queens
2024,9,28,0,9,53,q2,-1,mct,18,5,7,21,22,14,Queens
2024,9,28,0,9,44,q2,-1,mt,20,5,7,21,22,14,Queens
2024,9,28,0,9,38,q2,-1,mcr,14,5,7,21,22,14,Queens
2024,9,28,0,9,26,q2,21,mcl,15,5,7,21,22,14,Queens
2024,9,28,0,9,13,q2,-1,mpcl,14,5,7,21,22,14,Queens
2024,9,28,0,9,9,q2,-1,mf,0,5,7,21,22,14,Queens
2024,9,28,0,9,9,q2,-1,f,0,5,7,21,22,14,Queens
2024,9,28,0,9,9,q2,0,sub,0,5,4,21,22,14,Queens
2024,9,28,0,9,0,q2,14,TO,16,5,4,21,22,14,Queens
2024,9,28,0,8,58,q2,-1,TO,22,5,4,21,22,14,Queens
2024,9,28,0,8,51,q2,5,cr,18,5,4,21,22,14,Queens
2024,9,28,0,8,34,q2,-1,mcpl,12,5,4,21,22,14,Queens
2024,9,28,0,8,24,q2,5,TO,16,5,4,21,22,14,Queens
2024,9,28,0,8,7,q2,-1,mcr,8,5,4,21,22,14,Queens
2024,9,28,0,8,4,q2,-1,r,14,5,4,21,22,14,Queens
2024,9,28,0,7,54,q2,21,cl,19,5,4,21,22,14,Queens
2024,9,28,0,7,36,q2,-1,ct,12,5,4,21,22,14,Queens
2024,9,28,0,7,24,q2,14,mcl,19,5,4,21,22,14,Queens
2024,9,28,0,7,7,q2,-1,TO,11,5,4,21,22,14,Queens
2024,9,28,0,7,7,q2,0,sub,0,5,4,21,23,24,Queens
2024,9,28,0,6,57,q2,24,pcl,15,5,4,21,23,24,Queens
2024,9,28,0,6,36,q2,-1,mpcr,6,5,4,21,23,24,Queens
2024,9,28,0,6,30,q2,0,sub,0,5,4,13,23,24,Queens
2024,9,28,0,6,26,q2,-1,mcr,10,5,4,13,23,24,Queens
2024,9,28,0,6,2,q2,5,mcl,4,5,4,13,23,24,Queens
2024,9,28,0,5,48,q2,-1,cl,12,5,4,13,23,24,Queens
2024,9,28,0,5,26,q2,13,ct,5,5,4,13,23,24,Queens
2024,9,28,0,5,26,q2,-1,f,0,5,4,13,23,24,Queens
2024,9,28,0,5,14,q2,0,sub,0,4,12,13,22,24,Queens
2024,9,28,0,5,8,q2,-1,mcr,9,4,12,13,22,24,Queens
2024,9,28,0,5,3,q2,22,TO,23,4,12,13,22,24,Queens
2024,9,28,0,4,58,q2,-1,mt,19,4,12,13,22,24,Queens
2024,9,28,0,4,49,q2,22,mt,19,4,12,13,22,24,Queens
2024,9,28,0,4,37,q2,-1,cr,14,4,12,13,22,24,Queens
2024,9,28,0,4,29,q2,24,TO,23,4,12,13,22,24,Queens
2024,9,28,0,4,26,q2,-1,TO,13,4,12,13,22,24,Queens
2024,9,28,0,4,7,q2,13,mcl,9,4,12,13,22,24,Queens
2024,9,28,0,4,4,q2,24,f,0,4,12,13,22,24,Queens
2024,9,28,0,4,4,q2,24,mf,0,4,12,13,22,24,Queens
2024,9,28,0,3,58,q2,-1,mf,0,4,12,13,22,24,Queens
2024,9,28,0,3,58,q2,-1,f,0,4,12,13,22,24,Queens
2024,9,28,0,3,56,q2,12,TO,14,4,12,13,22,24,Queens
2024,9,28,0,3,50,q2,-1,cr,9,4,12,13,22,24,Queens
2024,9,28,0,3,47,q2,0,sub,0,4,7,13,22,24,Queens
2024,9,28,0,3,36,q2,22,cl,14,4,7,13,22,24,Queens
2024,9,28,0,3,26,q2,-1,f,0,4,7,13,22,24,Queens
2024,9,28,0,3,26,q2,-1,f,0,4,7,13,22,24,Queens
2024,9,28,0,3,26,q2,0,sub,0,4,7,13,21,24,Queens
2024,9,28,0,3,15,q2,21,TO,15,4,7,13,21,24,Queens
2024,9,28,0,3,3,q2,-1,mct,12,4,7,13,21,24,Queens
2024,9,28,0,2,49,q2,13,TO,15,4,7,13,21,24,Queens
2024,9,28,0,2,36,q2,-1,mct,11,4,7,13,21,24,Queens
2024,9,28,0,2,19,q2,13,mct,10,4,7,13,21,24,Queens
2024,9,28,0,2,9,q2,-1,cl,17,4,7,13,21,24,Queens
2024,9,28,0,1,52,q2,4,f,0,4,7,13,21,24,Queens
2024,9,28,0,1,52,q2,4,mf,0,4,7,13,21,24,Queens
2024,9,28,0,1,38,q2,-1,mct,12,4,7,13,21,24,Queens
2024,9,28,0,1,22,q2,4,mt,12,4,7,13,21,24,Queens
2024,9,28,0,1,19,q2,-1,mf,0,4,7,13,21,24,Queens
2024,9,28,0,1,19,q2,-1,f,0,4,7,13,21,24,Queens
2024,9,28,0,1,19,q2,0,sub,0,4,7,13,21,15,Queens
2024,9,28,0,1,13,q2,13,TO,17,4,7,13,21,15,Queens
2024,9,28,0,1,13,q2,0,sub,0,4,7,21,10,15,Queens
2024,9,28,0,1,9,q2,-1,mt,10,4,7,21,10,15,Queens
2024,9,28,0,1,4,q2,-1,mcr,5,4,7,21,10,15,Queens
2024,9,28,0,0,54,q2,21,TO,15,4,7,21,10,15,Queens
2024,9,28,0,0,38,q2,-1,mct,11,4,7,21,10,15,Queens
2024,9,28,0,0,29,q2,21,cl,18,4,7,21,10,15,Queens
2024,9,28,0,0,3,q2,-1,f,0,4,7,21,10,15,Queens
2024,9,28,0,0,3,q2,-1,f,0,4,7,21,10,15,Queens
2024,9,28,0,10,0,q3,0,sub,0,4,13,22,23,24,Queens
2024,9,28,0,9,44,q3,23,ct,8,4,13,22,23,24,Queens
2024,9,28,0,9,33,q3,-1,f,0,4,13,22,23,24,Queens
2024,9,28,0,9,33,q3,-1,f,0,4,13,22,23,24,Queens
2024,9,28,0,9,33,q3,-1,mf,0,4,13,22,23,24,Queens
2024,9,28,0,9,29,q3,-1,mcr,11,4,13,22,23,24,Queens
2024,9,28,0,9,22,q3,4,TO,17,4,13,22,23,24,Queens
2024,9,28,0,9,20,q3,-1,cl,22,4,13,22,23,24,Queens
2024,9,28,0,9,20,q3,-1,f,0,4,13,22,23,24,Queens
2024,9,28,0,9,15,q3,24,cl,20,4,13,22,23,24,Queens
