year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2025,1,10,0,10,0,q1,0,sub,0,4,12,22,23,15,Laval
2025,1,10,0,9,41,q1,15,pcl,6,4,12,22,23,15,Laval
2025,1,10,0,9,28,q1,-1,TO,15,4,12,22,23,15,Laval
2025,1,10,0,9,13,q1,15,mpcl,11,4,12,22,23,15,Laval
2025,1,10,0,9,2,q1,-1,r,17,4,12,22,23,15,Laval
2025,1,10,0,8,41,q1,4,t,7,4,12,22,23,15,Laval
2025,1,10,0,8,25,q1,-1,mcr,12,4,12,22,23,15,Laval
2025,1,10,0,8,11,q1,22,cr,13,4,12,22,23,15,Laval
2025,1,10,0,7,42,q1,-1,TO,1,4,12,22,23,15,Laval
2025,1,10,0,7,19,q1,23,mcr,2,4,12,22,23,15,Laval
2025,1,10,0,7,10,q1,-1,mcl,19,4,12,22,23,15,Laval
2025,1,10,0,7,0,q1,23,mct,16,4,12,22,23,15,Laval
2025,1,10,0,6,51,q1,-1,TO,19,4,12,22,23,15,Laval
2025,1,10,0,6,37,q1,4,t,11,4,12,22,23,15,Laval
2025,1,10,0,6,27,q1,-1,ct,18,4,12,22,23,15,Laval
2025,1,10,0,6,9,q1,4,mcr,10,4,12,22,23,15,Laval
2025,1,10,0,6,0,q1,-1,mcl,17,4,12,22,23,15,Laval
2025,1,10,0,5,42,q1,22,cl,8,4,12,22,23,15,Laval
2025,1,10,0,5,42,q1,22,f,0,4,12,22,23,15,Laval
2025,1,10,0,5,42,q1,0,sub,0,4,7,22,23,20,Laval
2025,1,10,0,5,24,q1,-1,mcl,6,4,7,22,23,20,Laval
2025,1,10,0,5,19,q1,-1,mcr,2,4,7,22,23,20,Laval
2025,1,10,0,5,9,q1,-1,mcts,6,4,7,22,23,20,Laval
2025,1,10,0,4,59,q1,7,cl,18,4,7,22,23,20,Laval
2025,1,10,0,4,59,q1,7,mf,10,4,7,22,23,20,Laval
2025,1,10,0,4,57,q1,20,crs,13,4,7,22,23,20,Laval
2025,1,10,0,4,36,q1,-1,r,7,4,7,22,23,20,Laval
2025,1,10,0,4,12,q1,20,TO,3,4,7,22,23,20,Laval
2025,1,10,0,4,2,q1,-1,mt,15,4,7,22,23,20,Laval
2025,1,10,0,3,44,q1,23,mcr,11,4,7,22,23,20,Laval
2025,1,10,0,3,23,q1,-1,mcl,6,4,7,22,23,20,Laval
2025,1,10,0,3,19,q1,0,sub,0,13,7,22,3,20,Laval
2025,1,10,0,3,13,q1,-1,mf,0,13,7,22,3,20,Laval
2025,1,10,0,3,13,q1,-1,f,0,13,7,22,3,20,Laval
2025,1,10,0,3,13,q1,-1,f,0,13,7,22,3,20,Laval
2025,1,10,0,2,58,q1,22,cr,10,13,7,22,3,20,Laval
2025,1,10,0,2,41,q1,-1,mr,11,13,7,22,3,20,Laval
2025,1,10,0,2,37,q1,-1,cls,12,13,7,22,3,20,Laval
2025,1,10,0,2,17,q1,7,TO,9,13,7,22,3,20,Laval
2025,1,10,0,2,17,q1,0,sub,0,13,7,21,3,20,Laval
2025,1,10,0,2,10,q1,-1,TO,14,13,7,21,3,20,Laval
2025,1,10,0,2,6,q1,3,cl,21,13,7,21,3,20,Laval
2025,1,10,0,1,54,q1,-1,cl,16,13,7,21,3,20,Laval
2025,1,10,0,1,40,q1,7,mcr,13,13,7,21,3,20,Laval
2025,1,10,0,1,33,q1,3,cts,9,13,7,21,3,20,Laval
2025,1,10,0,1,20,q1,-1,cr,15,13,7,21,3,20,Laval
2025,1,10,0,1,4,q1,20,mcl,11,13,7,21,3,20,Laval
2025,1,10,0,0,44,q1,-1,mct,5,13,7,21,3,20,Laval
2025,1,10,0,0,35,q1,7,ct,18,13,7,21,3,20,Laval
2025,1,10,0,0,25,q1,-1,mcl,18,13,7,21,3,20,Laval
2025,1,10,0,0,18,q1,-1,mts,9,13,7,21,3,20,Laval
2025,1,10,0,0,1,q1,7,mct,1,13,7,21,3,20,Laval
2025,1,10,0,10,0,q2,0,sub,0,13,7,21,3,20,Laval
2025,1,10,0,9,49,q2,-1,TO,13,13,7,21,3,20,Laval
2025,1,10,0,9,41,q2,3,l,18,13,7,21,3,20,Laval
2025,1,10,0,9,29,q2,-1,mcr,14,13,7,21,3,20,Laval
2025,1,10,0,9,17,q2,7,cl,16,13,7,21,3,20,Laval
2025,1,10,0,9,17,q2,7,f,0,13,7,21,3,20,Laval
2025,1,10,0,8,59,q2,-1,ct,6,13,7,21,3,20,Laval
2025,1,10,0,8,35,q2,3,pt,4,13,7,21,3,20,Laval
2025,1,10,0,8,29,q2,0,sub,0,13,7,21,3,15,Laval
2025,1,10,0,8,20,q2,-1,mr,15,13,7,21,3,15,Laval
2025,1,10,0,8,15,q2,-1,mcpr,12,13,7,21,3,15,Laval
2025,1,10,0,8,1,q2,3,mt,13,13,7,21,3,15,Laval
2025,1,10,0,7,49,q2,-1,t,17,13,7,21,3,15,Laval
2025,1,10,0,7,37,q2,7,TO,17,13,7,21,3,15,Laval
2025,1,10,0,7,28,q2,-1,cr,16,13,7,21,3,15,Laval
2025,1,10,0,7,10,q2,3,l,9,13,7,21,3,15,Laval
2025,1,10,0,7,2,q2,0,sub,0,4,13,8,23,15,Laval
2025,1,10,0,6,52,q2,-1,mpcl,11,4,13,8,23,15,Laval
2025,1,10,0,6,32,q2,15,mpcl,8,4,13,8,23,15,Laval
2025,1,10,0,6,24,q2,8,TO,13,4,13,8,23,15,Laval
2025,1,10,0,6,17,q2,-1,mct,18,4,13,8,23,15,Laval
2025,1,10,0,6,0,q2,23,mct,11,4,13,8,23,15,Laval
2025,1,10,0,5,48,q2,-1,ct,18,4,13,8,23,15,Laval
2025,1,10,0,5,29,q2,4,t,9,4,13,8,23,15,Laval
2025,1,10,0,5,10,q2,-1,r,7,4,13,8,23,15,Laval
2025,1,10,0,4,43,q2,4,mcpt,1,4,13,8,23,15,Laval
2025,1,10,0,4,40,q2,0,sub,0,4,22,7,23,15,Laval
2025,1,10,0,4,28,q2,-1,mpt,13,4,22,7,23,15,Laval
2025,1,10,0,4,12,q2,4,mpr,12,4,22,7,23,15,Laval
2025,1,10,0,4,9,q2,7,cls,14,4,22,7,23,15,Laval
2025,1,10,0,3,59,q2,-1,TO,19,4,22,7,23,15,Laval
2025,1,10,0,3,55,q2,4,mcl,21,4,22,7,23,15,Laval
2025,1,10,0,3,43,q2,7,ts,10,4,22,7,23,15,Laval
2025,1,10,0,3,16,q2,-1,cr,1,4,22,7,23,15,Laval
2025,1,10,0,2,59,q2,4,mcr,12,4,22,7,23,15,Laval
2025,1,10,0,2,50,q2,-1,TO,18,4,22,7,23,15,Laval
2025,1,10,0,2,36,q2,15,TO,10,4,22,7,23,15,Laval
2025,1,10,0,2,20,q2,-1,mcl,9,4,22,7,23,15,Laval
2025,1,10,0,2,10,q2,-1,mcts,5,4,22,7,23,15,Laval
2025,1,10,0,2,0,q2,22,mt,18,4,22,7,23,15,Laval
2025,1,10,0,1,50,q2,-1,t,17,4,22,7,23,15,Laval
2025,1,10,0,1,35,q2,22,mcr,14,4,22,7,23,15,Laval
2025,1,10,0,1,32,q2,0,sub,0,4,12,7,23,20,Laval
2025,1,10,0,1,25,q2,23,cr,5,4,12,7,23,20,Laval
2025,1,10,0,1,3,q2,-1,mcr,6,4,12,7,23,20,Laval
2025,1,10,0,0,50,q2,7,cl,15,4,12,7,23,20,Laval
2025,1,10,0,0,41,q2,-1,cl,18,4,12,7,23,20,Laval
2025,1,10,0,0,21,q2,23,mct,8,4,12,7,23,20,Laval
2025,1,10,0,0,1,q2,-1,cl,1,4,12,7,23,20,Laval
2025,1,10,0,10,0,q3,0,sub,0,4,12,22,23,15,Laval
2025,1,10,0,9,59,q3,-1,TO,23,4,12,22,23,15,Laval
2025,1,10,0,9,52,q3,22,cl,21,4,12,22,23,15,Laval
2025,1,10,0,9,31,q3,-1,cr,7,4,12,22,23,15,Laval
2025,1,10,0,9,14,q3,4,pt,11,4,12,22,23,15,Laval
2025,1,10,0,8,51,q3,-1,mpcl,7,4,12,22,23,15,Laval
2025,1,10,0,8,43,q3,23,mcr,19,4,12,22,23,15,Laval
2025,1,10,0,8,36,q3,-1,mt,18,4,12,22,23,15,Laval
2025,1,10,0,8,16,q3,15,mt,8,4,12,22,23,15,Laval
2025,1,10,0,8,9,q3,4,cpt,1,4,12,22,23,15,Laval
2025,1,10,0,7,48,q3,-1,mct,8,4,12,22,23,15,Laval
2025,1,10,0,7,28,q3,23,TO,9,4,12,22,23,15,Laval
2025,1,10,0,7,28,q3,0,sub,0,4,12,22,3,15,Laval
2025,1,10,0,7,15,q3,-1,mcr,11,4,12,22,3,15,Laval
2025,1,10,0,7,3,q3,12,pt,16,4,12,22,3,15,Laval
2025,1,10,0,6,49,q3,-1,mcl,14,4,12,22,3,15,Laval
2025,1,10,0,6,36,q3,4,mct,14,4,12,22,3,15,Laval
2025,1,10,0,6,10,q3,-1,mct,1,4,12,22,3,15,Laval
2025,1,10,0,5,52,q3,12,l,10,4,12,22,3,15,Laval
2025,1,10,0,5,38,q3,-1,TO,12,4,12,22,3,15,Laval
2025,1,10,0,5,38,q3,0,sub,0,7,12,22,3,15,Laval
2025,1,10,0,5,22,q3,22,cl,9,7,12,22,3,15,Laval
2025,1,10,0,5,2,q3,-1,f,0,7,12,22,3,15,Laval
2025,1,10,0,5,2,q3,-1,f,0,7,12,22,3,15,Laval
2025,1,10,0,4,52,q3,-1,mt,5,7,12,22,3,15,Laval
2025,1,10,0,4,48,q3,-1,mcls,14,7,12,22,3,15,Laval
2025,1,10,0,4,45,q3,-1,TO,14,7,12,22,3,15,Laval
2025,1,10,0,4,32,q3,7,l,11,7,12,22,3,15,Laval
2025,1,10,0,4,16,q3,-1,mt,11,7,12,22,3,15,Laval
2025,1,10,0,4,5,q3,3,mt,18,7,12,22,3,15,Laval
2025,1,10,0,4,2,q3,12,mrs,13,7,12,22,3,15,Laval
2025,1,10,0,4,0,q3,0,sub,0,7,13,22,3,20,Laval
2025,1,10,0,3,50,q3,-1,mcr,14,7,13,22,3,20,Laval
2025,1,10,0,3,46,q3,-1,mcls,13,7,13,22,3,20,Laval
2025,1,10,0,3,37,q3,7,mcl,16,7,13,22,3,20,Laval
2025,1,10,0,3,31,q3,-1,mct,21,7,13,22,3,20,Laval
2025,1,10,0,3,10,q3,13,mpct,7,7,13,22,3,20,Laval
2025,1,10,0,2,57,q3,-1,TO,14,7,13,22,3,20,Laval
2025,1,10,0,2,50,q3,20,mcl,15,7,13,22,3,20,Laval
2025,1,10,0,2,48,q3,20,mcls,14,7,13,22,3,20,Laval
2025,1,10,0,2,39,q3,-1,cl,18,7,13,22,3,20,Laval
2025,1,10,0,2,39,q3,-1,f,0,7,13,22,3,20,Laval
2025,1,10,0,2,39,q3,0,sub,0,7,13,21,3,20,Laval
2025,1,10,0,2,18,q3,7,f,0,7,13,21,3,20,Laval
2025,1,10,0,2,18,q3,7,f,0,7,13,21,3,20,Laval
2025,1,10,0,2,2,q3,-1,TO,9,7,13,21,3,20,Laval
2025,1,10,0,1,42,q3,20,f,0,7,13,21,3,20,Laval
2025,1,10,0,1,42,q3,20,f,0,7,13,21,3,20,Laval
2025,1,10,0,1,20,q3,-1,mf,0,7,13,21,3,20,Laval
2025,1,10,0,1,20,q3,-1,f,0,7,13,21,3,20,Laval
2025,1,10,0,1,6,q3,3,mct,10,7,13,21,3,20,Laval
2025,1,10,0,0,41,q3,-1,cr,3,7,13,21,3,20,Laval
2025,1,10,0,0,13,q3,21,mcr,2,7,13,21,3,20,Laval
2025,1,10,0,0,1,q3,-1,mt,1,7,13,21,3,20,Laval
2025,1,10,0,10,0,q4,0,sub,0,7,5,21,3,20,Laval
2025,1,10,0,9,42,q4,3,mcr,7,7,5,21,3,20,Laval
2025,1,10,0,9,27,q4,-1,mt,12,7,5,21,3,20,Laval
2025,1,10,0,9,4,q4,7,cl,10,7,5,21,3,20,Laval
2025,1,10,0,8,47,q4,-1,mcl,10,7,5,21,3,20,Laval
2025,1,10,0,8,38,q4,20,cl,17,7,5,21,3,20,Laval
2025,1,10,0,8,14,q4,-1,mcl,5,7,5,21,3,20,Laval
2025,1,10,0,7,54,q4,20,mpcl,14,7,5,21,3,20,Laval
2025,1,10,0,7,46,q4,-1,TO,14,7,5,21,3,20,Laval
2025,1,10,0,7,39,q4,20,TO,18,7,5,21,3,20,Laval
2025,1,10,0,7,39,q4,0,sub,0,7,5,21,3,23,Laval
2025,1,10,0,7,31,q4,-1,mct,16,7,5,21,3,23,Laval
2025,1,10,0,7,19,q4,3,mct,15,7,5,21,3,23,Laval
