year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2025,2,1,0,10,0,q1,0,sub,0,4,7,22,23,15,UQAM
2025,2,1,0,9,45,q1,22,mcr,9,4,7,22,23,15,UQAM
2025,2,1,0,9,18,q1,-1,mcpr,2,4,7,22,23,15,UQAM
2025,2,1,0,9,13,q1,23,mr,19,4,7,22,23,15,UQAM
2025,2,1,0,8,50,q1,-1,f,0,4,7,22,23,15,UQAM
2025,2,1,0,8,50,q1,-1,f,0,4,7,22,23,15,UQAM
2025,2,1,0,8,38,q1,7,cl,10,4,7,22,23,15,UQAM
2025,2,1,0,8,28,q1,-1,TO,17,4,7,22,23,15,UQAM
2025,2,1,0,8,23,q1,22,cl,18,4,7,22,23,15,UQAM
2025,2,1,0,8,0,q1,-1,mcr,7,4,7,22,23,15,UQAM
2025,2,1,0,7,47,q1,15,TOp,10,4,7,22,23,15,UQAM
2025,2,1,0,7,29,q1,-1,mcr,6,4,7,22,23,15,UQAM
2025,2,1,0,7,8,q1,23,mpt,8,4,7,22,23,15,UQAM
2025,2,1,0,6,58,q1,22,mpr,5,4,7,22,23,15,UQAM
2025,2,1,0,6,41,q1,-1,mcr,10,4,7,22,23,15,UQAM
2025,2,1,0,6,22,q1,15,cl,7,4,7,22,23,15,UQAM
2025,2,1,0,6,11,q1,-1,TO,18,4,7,22,23,15,UQAM
2025,2,1,0,6,8,q1,7,cl,22,4,7,22,23,15,UQAM
2025,2,1,0,5,51,q1,-1,ml,9,4,7,22,23,15,UQAM
2025,2,1,0,5,44,q1,23,mcl,18,4,7,22,23,15,UQAM
2025,2,1,0,5,40,q1,7,mcrs,13,4,7,22,23,15,UQAM
2025,2,1,0,5,27,q1,0,sub,0,4,7,22,3,24,UQAM
2025,2,1,0,5,19,q1,-1,mcl,8,4,7,22,3,24,UQAM
2025,2,1,0,5,5,q1,4,pr,8,4,7,22,3,24,UQAM
2025,2,1,0,4,43,q1,-1,mpt,3,4,7,22,3,24,UQAM
2025,2,1,0,4,20,q1,7,cl,5,4,7,22,3,24,UQAM
2025,2,1,0,4,3,q1,-1,cpr,15,4,7,22,3,24,UQAM
2025,2,1,0,3,53,q1,22,cl,16,4,7,22,3,24,UQAM
2025,2,1,0,3,36,q1,-1,cpr,12,4,7,22,3,24,UQAM
2025,2,1,0,3,18,q1,3,mt,13,4,7,22,3,24,UQAM
2025,2,1,0,3,16,q1,0,sub,0,4,7,8,3,24,UQAM
2025,2,1,0,3,6,q1,-1,mt,12,4,7,8,3,24,UQAM
2025,2,1,0,3,1,q1,-1,t,12,4,7,8,3,24,UQAM
2025,2,1,0,2,36,q1,3,pcl,7,4,7,8,3,24,UQAM
