year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2025,2,20,0,10,0,q1,0,sub,0,4,7,22,23,15,McGill
2025,2,20,0,9,46,q1,-1,TO,10,4,7,22,23,15,McGill
2025,2,20,0,9,42,q1,22,l,20,4,7,22,23,15,McGill
2025,2,20,0,9,29,q1,-1,TO,15,4,7,22,23,15,McGill
2025,2,20,0,9,7,q1,4,mcpr,3,4,7,22,23,15,McGill
2025,2,20,0,9,1,q1,22,mpts,11,4,7,22,23,15,McGill
2025,2,20,0,8,48,q1,-1,mpr,11,4,7,22,23,15,McGill
2025,2,20,0,8,45,q1,-1,mcls,12,4,7,22,23,15,McGill
2025,2,20,0,8,32,q1,7,TOp,17,4,7,22,23,15,McGill
2025,2,20,0,8,27,q1,-1,mcpt,19,4,7,22,23,15,McGill
2025,2,20,0,8,24,q1,-1,mcls,13,4,7,22,23,15,McGill
2025,2,20,0,8,16,q1,23,TO,20,4,7,22,23,15,McGill
2025,2,20,0,8,2,q1,-1,pcl,9,4,7,22,23,15,McGill
2025,2,20,0,7,33,q1,7,mpct,2,4,7,22,23,15,McGill
2025,2,20,0,7,28,q1,22,msct,12,4,7,22,23,15,McGill
2025,2,20,0,7,11,q1,-1,cpl,8,4,7,22,23,15,McGill
2025,2,20,0,6,49,q1,23,TOp,9,4,7,22,23,15,McGill
2025,2,20,0,6,49,q1,0,sub,0,4,12,22,8,15,McGill
2025,2,20,0,6,43,q1,-1,mct,18,4,12,22,8,15,McGill
2025,2,20,0,6,33,q1,-1,cprs,4,4,12,22,8,15,McGill
2025,2,20,0,6,22,q1,8,mcl,18,4,12,22,8,15,McGill
2025,2,20,0,6,11,q1,-1,cl,17,4,12,22,8,15,McGill
2025,2,20,0,6,11,q1,-1,f,0,4,12,22,8,15,McGill
2025,2,20,0,6,0,q1,15,pcl,14,4,12,22,8,15,McGill
2025,2,20,0,5,35,q1,-1,mpct,2,4,12,22,8,15,McGill
2025,2,20,0,5,18,q1,15,pcl,2,4,12,22,8,15,McGill
2025,2,20,0,4,48,q1,-1,f,0,4,12,22,8,15,McGill
2025,2,20,0,4,48,q1,-1,f,0,4,12,22,8,15,McGill
2025,2,20,0,4,48,q1,0,sub,0,4,12,22,8,20,McGill
2025,2,20,0,4,36,q1,20,pcr,9,4,12,22,8,20,McGill
2025,2,20,0,4,20,q1,-1,ct,13,4,12,22,8,20,McGill
2025,2,20,0,4,1,q1,20,pcl,11,4,12,22,8,20,McGill
2025,2,20,0,3,43,q1,-1,mpcl,11,4,12,22,8,20,McGill
2025,2,20,0,3,32,q1,20,mcr,17,4,12,22,8,20,McGill
2025,2,20,0,3,9,q1,-1,mf,0,4,12,22,8,20,McGill
2025,2,20,0,3,9,q1,-1,f,0,4,12,22,8,20,McGill
2025,2,20,0,3,9,q1,0,sub,0,4,12,5,8,20,McGill
2025,2,20,0,2,46,q1,5,mpcr,2,4,12,5,8,20,McGill
2025,2,20,0,2,31,q1,-1,mpcl,2,4,12,5,8,20,McGill
2025,2,20,0,2,23,q1,4,r,18,4,12,5,8,20,McGill
2025,2,20,0,2,10,q1,0,sub,0,5,7,8,12,21,McGill
2025,2,20,0,2,1,q1,-1,TOp,7,5,7,8,12,21,McGill
2025,2,20,0,1,57,q1,7,cl,21,5,7,8,12,21,McGill
2025,2,20,0,1,57,q1,7,f,0,5,7,8,12,21,McGill
2025,2,20,0,1,57,q1,0,sub,0,5,7,8,20,21,McGill
2025,2,20,0,1,38,q1,-1,mpcl,6,5,7,8,20,21,McGill
2025,2,20,0,1,18,q1,8,pcr,7,5,7,8,20,21,McGill
2025,2,20,0,0,56,q1,-1,mpcl,7,5,7,8,20,21,McGill
2025,2,20,0,0,48,q1,7,mf,0,5,7,8,20,21,McGill
2025,2,20,0,0,48,q1,7,f,0,5,7,8,20,21,McGill
2025,2,20,0,0,41,q1,-1,TO,18,5,7,8,20,21,McGill
2025,2,20,0,0,36,q1,5,mpct,19,5,7,8,20,21,McGill
2025,2,20,0,0,32,q1,20,cls,14,5,7,8,20,21,McGill
2025,2,20,0,0,9,q1,-1,mpr,7,5,7,8,20,21,McGill
2025,2,20,0,0,1,q1,7,ct,1,5,7,8,20,21,McGill
2025,2,20,0,10,0,q2,0,sub,0,5,7,8,20,21,McGill
2025,2,20,0,9,44,q2,7,TO,9,5,7,8,20,21,McGill
2025,2,20,0,9,28,q2,-1,pcl,8,5,7,8,20,21,McGill
2025,2,20,0,9,15,q2,20,mt,16,5,7,8,20,21,McGill
2025,2,20,0,9,8,q2,7,f,0,5,7,8,20,21,McGill
2025,2,20,0,9,8,q2,7,mf,0,5,7,8,20,21,McGill
2025,2,20,0,9,8,q2,0,sub,0,5,7,8,14,21,McGill
2025,2,20,0,8,58,q2,21,mcls,7,5,7,8,14,21,McGill
