year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2025,3,13,0,10,0,q1,0,sub,0,4,12,22,3,15,Ottawa
2025,3,13,0,9,45,q1,-1,mt,9,4,12,22,3,15,Ottawa
2025,3,13,0,9,26,q1,4,TO,12,4,12,22,3,15,Ottawa
2025,3,13,0,9,19,q1,-1,mcr,8,4,12,22,3,15,Ottawa
2025,3,13,0,9,19,q1,22,mcpl,13,4,12,22,3,15,Ottawa
2025,3,13,0,9,10,q1,15,TOps,5,4,12,22,3,15,Ottawa
2025,3,13,0,8,40,q1,-1,mcl,13,4,12,22,3,15,Ottawa
2025,3,13,0,8,26,q1,4,TO,13,4,12,22,3,15,Ottawa
2025,3,13,0,8,16,q1,-1,f,0,4,12,22,3,15,Ottawa
2025,3,13,0,8,16,q1,-1,mf,0,4,12,22,3,15,Ottawa
2025,3,13,0,8,2,q1,15,TOp,6,4,12,22,3,15,Ottawa
2025,3,13,0,7,45,q1,-1,mpcl,11,4,12,22,3,15,Ottawa
2025,3,13,0,7,33,q1,22,mct,14,4,12,22,3,15,Ottawa
2025,3,13,0,7,26,q1,-1,cl,18,4,12,22,3,15,Ottawa
2025,3,13,0,7,9,q1,0,sub,0,4,12,22,3,20,Ottawa
2025,3,13,0,7,1,q1,4,cr,11,4,12,22,3,20,Ottawa
2025,3,13,0,6,51,q1,-1,f,0,4,12,22,3,20,Ottawa
2025,3,13,0,6,51,q1,-1,mf,0,4,12,22,3,20,Ottawa
2025,3,13,0,6,51,q1,0,sub,0,7,12,22,3,20,Ottawa
2025,3,13,0,6,40,q1,3,TO,13,7,12,22,3,20,Ottawa
2025,3,13,0,6,29,q1,-1,cl,19,7,12,22,3,20,Ottawa
2025,3,13,0,6,16,q1,12,mt,15,7,12,22,3,20,Ottawa
2025,3,13,0,6,2,q1,-1,ct,12,7,12,22,3,20,Ottawa
2025,3,13,0,5,45,q1,20,mcpr,12,7,12,22,3,20,Ottawa
2025,3,13,0,5,42,q1,-1,TO,15,7,12,22,3,20,Ottawa
2025,3,13,0,5,26,q1,3,pcl,8,7,12,22,3,20,Ottawa
2025,3,13,0,5,1,q1,-1,mct,11,7,12,22,3,20,Ottawa
2025,3,13,0,4,50,q1,20,mcl,18,7,12,22,3,20,Ottawa
2025,3,13,0,4,45,q1,-1,cl,19,7,12,22,3,20,Ottawa
2025,3,13,0,4,20,q1,3,mpt,6,7,12,22,3,20,Ottawa
2025,3,13,0,4,13,q1,7,cls,6,7,12,22,3,20,Ottawa
2025,3,13,0,4,13,q1,7,mf,0,7,12,22,3,20,Ottawa
2025,3,13,0,4,13,q1,0,sub,0,7,12,22,23,15,Ottawa
2025,3,13,0,4,7,q1,22,TOs,9,7,12,22,23,15,Ottawa
2025,3,13,0,3,49,q1,-1,cl,9,7,12,22,23,15,Ottawa
2025,3,13,0,3,44,q1,23,TO,17,7,12,22,23,15,Ottawa
2025,3,13,0,3,35,q1,-1,mpcl,7,7,12,22,23,15,Ottawa
2025,3,13,0,3,23,q1,23,mt,18,7,12,22,23,15,Ottawa
2025,3,13,0,3,12,q1,-1,cr,14,7,12,22,23,15,Ottawa
2025,3,13,0,3,6,q1,0,sub,0,7,8,22,23,15,Ottawa
2025,3,13,0,2,56,q1,23,mcpl,6,7,8,22,23,15,Ottawa
2025,3,13,0,2,43,q1,-1,TO,19,7,8,22,23,15,Ottawa
