year,month,day,hour,minute,second,period,player,event,time on shotclock,player1,player2,player3,player4,player5,opponent
2025,3,15,0,10,0,q1,0,sub,0,4,12,22,3,15,UBC
2025,3,15,0,9,45,q1,-1,TO,9,4,12,22,3,15,UBC
2025,3,15,0,9,26,q1,15,TOp,6,4,12,22,3,15,UBC
2025,3,15,0,9,12,q1,-1,TO,8,4,12,22,3,15,UBC
2025,3,15,0,9,5,q1,22,cr,17,4,12,22,3,15,UBC
2025,3,15,0,8,55,q1,-1,cl,18,4,12,22,3,15,UBC
2025,3,15,0,8,38,q1,4,ct,12,4,12,22,3,15,UBC
2025,3,15,0,8,26,q1,-1,mct,15,4,12,22,3,15,UBC
2025,3,15,0,8,19,q1,-1,pst,11,4,12,22,3,15,UBC
2025,3,15,0,8,7,q1,22,mt,16,4,12,22,3,15,UBC
2025,3,15,0,8,0,q1,-1,mcl,19,4,12,22,3,15,UBC
2025,3,15,0,7,46,q1,22,mcl,12,4,12,22,3,15,UBC
2025,3,15,0,7,35,q1,-1,mcl,15,4,12,22,3,15,UBC
2025,3,15,0,7,25,q1,4,cl,15,4,12,22,3,15,UBC
2025,3,15,0,7,16,q1,-1,TO,18,4,12,22,3,15,UBC
2025,3,15,0,7,10,q1,22,mt,18,4,12,22,3,15,UBC
2025,3,15,0,6,53,q1,12,mcts,1,4,12,22,3,15,UBC
2025,3,15,0,6,45,q1,-1,mt,18,4,12,22,3,15,UBC
2025,3,15,0,6,40,q1,-1,cls,12,4,12,22,3,15,UBC
2025,3,15,0,6,22,q1,22,clm,8,4,12,22,3,15,UBC
2025,3,15,0,6,19,q1,3,ts,12,4,12,22,3,15,UBC
2025,3,15,0,6,10,q1,-1,tp,19,4,12,22,3,15,UBC
2025,3,15,0,5,54,q1,4,ct,13,4,12,22,3,15,UBC
2025,3,15,0,5,41,q1,-1,mcl,18,4,12,22,3,15,UBC
2025,3,15,0,5,34,q1,4,ct,19,4,12,22,3,15,UBC
2025,3,15,0,5,15,q1,-1,t,10,4,12,22,3,15,UBC
2025,3,15,0,4,59,q1,4,cl,12,4,12,22,3,15,UBC
2025,3,15,0,4,45,q1,-1,mt,14,4,12,22,3,15,UBC
2025,3,15,0,4,34,q1,4,ct,16,4,12,22,3,15,UBC
2025,3,15,0,4,34,q1,0,sub,0,4,7,22,3,14,UBC
2025,3,15,0,4,20,q1,-1,pt,14,4,7,22,3,14,UBC
2025,3,15,0,3,57,q1,4,pt,4,4,7,22,3,14,UBC
2025,3,15,0,3,46,q1,-1,mct,17,4,7,22,3,14,UBC
2025,3,15,0,3,42,q1,-1,mcls,14,4,7,22,3,14,UBC
2025,3,15,0,3,31,q1,7,mf,0,4,7,22,3,14,UBC
2025,3,15,0,3,31,q1,7,f,0,4,7,22,3,14,UBC
2025,3,15,0,3,31,q1,0,sub,0,4,7,12,3,14,UBC
2025,3,15,0,3,18,q1,-1,ct,10,4,7,12,3,14,UBC
2025,3,15,0,2,59,q1,12,pt,9,4,7,12,3,14,UBC
2025,3,15,0,2,48,q1,-1,tm,17,4,7,12,3,14,UBC
2025,3,15,0,2,32,q1,3,TOp,11,4,7,12,3,14,UBC
2025,3,15,0,2,32,q1,0,sub,0,7,12,8,13,15,UBC
2025,3,15,0,2,21,q1,-1,f,0,7,12,8,13,15,UBC
2025,3,15,0,2,21,q1,-1,mf,0,7,12,8,13,15,UBC
2025,3,15,0,2,17,q1,-1,TOs,11,7,12,8,13,15,UBC
2025,3,15,0,1,56,q1,13,TOp,3,7,12,8,13,15,UBC
2025,3,15,0,1,41,q1,-1,TO,9,7,12,8,13,15,UBC
2025,3,15,0,1,28,q1,7,TO,11,7,12,8,13,15,UBC
2025,3,15,0,1,9,q1,-1,cml,5,7,12,8,13,15,UBC
2025,3,15,0,1,2,q1,-1,pts,8,7,12,8,13,15,UBC
2025,3,15,0,0,41,q1,8,mptc,6,7,12,8,13,15,UBC
2025,3,15,0,0,33,q1,7,TOs,1,7,12,8,13,15,UBC
2025,3,15,0,0,33,q1,0,sub,0,7,12,8,3,14,UBC
2025,3,15,0,0,29,q1,-1,mct,21,7,12,8,3,14,UBC
2025,3,15,0,0,23,q1,12,TO,20,7,12,8,3,14,UBC
2025,3,15,0,0,23,q1,0,sub,0,9,12,8,3,14,UBC
2025,3,15,0,0,4,q1,-1,TO,4,9,12,8,3,14,UBC
2025,3,15,0,10,0,q2,0,sub,0,4,8,22,3,14,UBC
2025,3,15,0,9,49,q2,3,l,13,4,8,22,3,14,UBC
2025,3,15,0,9,34,q2,-1,pcml,13,4,8,22,3,14,UBC
2025,3,15,0,9,19,q2,22,t,10,4,8,22,3,14,UBC
2025,3,15,0,9,0,q2,-1,cl,11,4,8,22,3,14,UBC
2025,3,15,0,8,41,q2,14,mcpr,7,4,8,22,3,14,UBC
2025,3,15,0,8,32,q2,-1,mct,18,4,8,22,3,14,UBC
2025,3,15,0,8,22,q2,8,mcr,15,4,8,22,3,14,UBC
2025,3,15,0,8,1,q2,-1,ct,5,4,8,22,3,14,UBC
2025,3,15,0,7,37,q2,14,pcr,3,4,8,22,3,14,UBC
2025,3,15,0,7,22,q2,-1,mct,12,4,8,22,3,14,UBC
2025,3,15,0,7,14,q2,0,sub,0,4,7,22,3,14,UBC
2025,3,15,0,7,5,q2,7,cr,9,4,7,22,3,14,UBC
2025,3,15,0,6,48,q2,-1,mcl,10,4,7,22,3,14,UBC
